,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Squad,League
527,Carlos Soler,es ESP,"MF,FW",27.0,15.7,1,25,8,32.0,1.6,0.51,0.04,0.13,19.0,1,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches,West-Ham-United,Premier-League
528,Łukasz Fabiański,pl POL,GK,39.0,12.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West-Ham-United,Premier-League
529,James Ward-Prowse,eng ENG,MF,29.0,11.5,1,13,5,38.5,1.13,0.43,0.08,0.2,19.9,3,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches,West-Ham-United,Premier-League
530,Vladimír Coufal,cz CZE,DF,31.0,11.9,0,7,2,28.6,0.59,0.17,0.0,0.0,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,West-Ham-United,Premier-League
531,Michail Antonio,jm JAM,FW,34.0,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches,West-Ham-United,Premier-League
532,Aaron Cresswell,eng ENG,DF,34.0,9.2,0,5,0,0.0,0.55,0.0,0.0,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,West-Ham-United,Premier-League
533,Crysencio Summerville,nl NED,"FW,MF",22.0,8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches,West-Ham-United,Premier-League
534,Oliver Scarles,eng ENG,"DF,FW",18.0,7.4,0,3,0,0.0,0.41,0.0,0.0,,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,West-Ham-United,Premier-League
535,Niclas Füllkrug,de GER,FW,31.0,8.8,3,16,7,43.8,1.82,0.8,0.19,0.43,10.3,0,0,0,2.2,2.2,0.14,0.8,0.8,Matches,West-Ham-United,Premier-League
536,Danny Ings,eng ENG,"FW,MF",32.0,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches,West-Ham-United,Premier-League
537,Andy Irving,sct SCO,MF,24.0,1.8,0,4,2,50.0,2.17,1.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,West-Ham-United,Premier-League
538,Evan Ferguson,ie IRL,FW,19.0,1.7,0,5,1,20.0,2.88,0.58,0.0,0.0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,West-Ham-United,Premier-League
539,Luis Guilherme,br BRA,"MF,FW",18.0,1.7,0,4,1,25.0,2.4,0.6,0.0,0.0,13.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches,West-Ham-United,Premier-League
540,Lewis Orford,eng ENG,MF,18.0,0.5,0,1,0,0.0,1.84,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,West-Ham-United,Premier-League
541,Kaelan Casey,eng ENG,DF,19.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West-Ham-United,Premier-League
542,Rayan Aït-Nouri,dz ALG,DF,23.0,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3,Matches,Wolverhampton-Wanderers,Premier-League
543,João Gomes,br BRA,MF,23.0,33.0,3,35,7,20.0,1.06,0.21,0.09,0.43,18.3,0,0,0,2.9,2.9,0.08,0.1,0.1,Matches,Wolverhampton-Wanderers,Premier-League
544,Nélson Semedo,pt POR,DF,30.0,32.1,0,18,7,38.9,0.56,0.22,0.0,0.0,23.9,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches,Wolverhampton-Wanderers,Premier-League
545,André,br BRA,MF,23.0,27.5,0,10,1,10.0,0.36,0.04,0.0,0.0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,Wolverhampton-Wanderers,Premier-League
546,Toti Gomes,pt POR,DF,25.0,29.0,0,7,2,28.6,0.24,0.07,0.0,0.0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches,Wolverhampton-Wanderers,Premier-League
547,Jørgen Strand Larsen,no NOR,FW,24.0,28.7,14,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,0,0,10.3,10.3,0.19,3.7,3.7,Matches,Wolverhampton-Wanderers,Premier-League
548,José Sá,pt POR,GK,31.0,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
549,Matheus Cunha,br BRA,"MF,FW",25.0,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,6.4,6.4,Matches,Wolverhampton-Wanderers,Premier-League
550,Matt Doherty,ie IRL,DF,32.0,23.4,2,10,3,30.0,0.43,0.13,0.2,0.67,11.4,0,0,0,1.0,1.0,0.1,1.0,1.0,Matches,Wolverhampton-Wanderers,Premier-League
551,Jean-Ricner Bellegarde,fr FRA,"MF,FW",26.0,18.6,2,22,5,22.7,1.18,0.27,0.09,0.4,21.2,2,0,0,1.5,1.5,0.07,0.5,0.5,Matches,Wolverhampton-Wanderers,Premier-League
552,Santiago Bueno,uy URU,DF,25.0,18.7,0,6,3,50.0,0.32,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,Wolverhampton-Wanderers,Premier-League
553,Emmanuel Agbadou,ci CIV,DF,27.0,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,Matches,Wolverhampton-Wanderers,Premier-League
554,Mario Lemina,ga GAB,"MF,DF",30.0,15.2,1,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,Wolverhampton-Wanderers,Premier-League
555,Marshall Munetsi,zw ZIM,"MF,FW",28.0,12.0,2,22,7,31.8,1.84,0.58,0.09,0.29,15.0,0,0,0,3.3,3.3,0.15,-1.3,-1.3,Matches,Wolverhampton-Wanderers,Premier-League
556,Gonçalo Guedes,pt POR,"MF,FW",27.0,11.1,2,27,8,29.6,2.44,0.72,0.07,0.25,18.9,0,0,0,3.2,3.2,0.12,-1.2,-1.2,Matches,Wolverhampton-Wanderers,Premier-League
557,Craig Dawson,eng ENG,DF,34.0,10.8,0,5,1,20.0,0.46,0.09,0.0,0.0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches,Wolverhampton-Wanderers,Premier-League
558,Pablo Sarabia,es ESP,"MF,FW",32.0,9.0,3,17,8,47.1,1.88,0.88,0.18,0.38,18.9,2,0,0,2.9,2.9,0.17,0.1,0.1,Matches,Wolverhampton-Wanderers,Premier-League
559,Rodrigo Gomes,pt POR,"DF,FW",21.0,9.0,2,7,3,42.9,0.78,0.33,0.29,0.67,16.8,0,0,0,0.7,0.7,0.1,1.3,1.3,Matches,Wolverhampton-Wanderers,Premier-League
560,Sam Johnstone,eng ENG,GK,31.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
561,Hwang Hee-chan,kr KOR,"MF,FW",28.0,7.3,2,5,3,60.0,0.68,0.41,0.4,0.67,17.4,0,0,0,0.8,0.8,0.16,1.2,1.2,Matches,Wolverhampton-Wanderers,Premier-League
562,Yerson Mosquera,co COL,DF,23.0,4.9,0,2,0,0.0,0.41,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,Wolverhampton-Wanderers,Premier-League
563,Tommy Doyle,eng ENG,MF,22.0,5.4,0,9,2,22.2,1.66,0.37,0.0,0.0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,Wolverhampton-Wanderers,Premier-League
564,Daniel Bentley,eng ENG,GK,31.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
565,Carlos Forbs,pt POR,"MF,FW",20.0,2.7,0,2,0,0.0,0.75,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Wolverhampton-Wanderers,Premier-League
566,Pedro Lima,br BRA,DF,18.0,0.8,0,1,1,100.0,1.29,1.29,0.0,0.0,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Wolverhampton-Wanderers,Premier-League
567,Nasser Djiga,bf BFA,DF,21.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
568,Daniel Podence,pt POR,"MF,FW",28.0,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
569,Chiquinho,pt POR,MF,24.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
570,Mateus Mane,,MF,,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
571,Tom King,wls WAL,GK,29.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
572,Alfie Pond,eng ENG,DF,20.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
573,Boubacar Traoré,ml MLI,MF,22.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
574,Carlos Vicente,es ESP,"FW,MF",25.0,34.4,5,35,13,37.1,1.02,0.38,0.11,0.31,18.2,1,1,1,3.5,2.7,0.08,1.5,1.3,Matches,Alaves,La-Liga
575,Nahuel Tenaglia,ar ARG,DF,28.0,32.5,2,27,8,29.6,0.83,0.25,0.07,0.25,15.5,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches,Alaves,La-Liga
576,Antonio Sivera,es ESP,GK,27.0,31.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,La-Liga
577,Antonio Blanco,es ESP,MF,24.0,30.3,0,25,3,12.0,0.83,0.1,0.0,0.0,27.1,0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches,Alaves,La-Liga
578,Manu Sánchez,es ESP,DF,23.0,29.3,1,12,2,16.7,0.41,0.07,0.08,0.5,16.7,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,Alaves,La-Liga
579,Kiké,es ESP,FW,34.0,28.2,13,60,24,40.0,2.12,0.85,0.17,0.42,15.4,0,3,3,9.6,7.2,0.12,3.4,2.8,Matches,Alaves,La-Liga
580,Abdel Abqar,ma MAR,DF,25.0,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,Alaves,La-Liga
581,Jon Guridi,es ESP,"MF,FW",29.0,23.1,3,23,11,47.8,1.0,0.48,0.09,0.18,14.9,0,1,1,4.2,3.4,0.15,-1.2,-1.4,Matches,Alaves,La-Liga
582,Ander Guevara,es ESP,MF,27.0,21.6,0,12,3,25.0,0.55,0.14,0.0,0.0,20.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,Alaves,La-Liga
583,Moussa Diarra,ml MLI,DF,23.0,20.7,0,1,0,0.0,0.05,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Alaves,La-Liga
584,Santiago Mouriño,uy URU,DF,22.0,20.5,0,13,3,23.1,0.63,0.15,0.0,0.0,15.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,Alaves,La-Liga
585,Carlos Martín,es ESP,"FW,MF",22.0,14.8,2,26,12,46.2,1.76,0.81,0.08,0.17,17.0,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches,Alaves,La-Liga
586,Joan Jordán,es ESP,MF,30.0,15.7,5,13,4,30.8,0.83,0.25,0.15,0.5,26.7,5,3,4,4.8,1.6,0.13,0.2,0.4,Matches,Alaves,La-Liga
587,Carles Aleñá,es ESP,"MF,FW",26.0,12.1,0,15,4,26.7,1.24,0.33,0.0,0.0,19.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,Alaves,La-Liga
588,Toni Martínez,es ESP,FW,27.0,11.2,4,46,15,32.6,4.09,1.33,0.09,0.27,17.1,0,0,0,3.6,3.6,0.08,0.4,0.4,Matches,Alaves,La-Liga
589,Tomás Conechny,ar ARG,"FW,MF",26.0,9.4,1,22,10,45.5,2.34,1.06,0.05,0.1,18.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches,Alaves,La-Liga
590,Facundo Garcés,my MAS,DF,24.0,7.5,0,5,1,20.0,0.66,0.13,0.0,0.0,15.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Alaves,La-Liga
591,Aleksandar Sedlar,rs SRB,DF,32.0,6.6,0,1,0,0.0,0.15,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Alaves,La-Liga
592,Stoichkov,es ESP,"MF,FW",30.0,7.8,0,18,3,16.7,2.32,0.39,0.0,0.0,19.8,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches,Alaves,La-Liga
593,Carlos Benavídez,uy URU,MF,26.0,5.4,1,5,2,40.0,0.92,0.37,0.2,0.5,21.4,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches,Alaves,La-Liga
594,Pica,es ESP,DF,22.0,5.5,0,4,1,25.0,0.72,0.18,0.0,0.0,10.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Alaves,La-Liga
595,Jesús Owono,gq EQG,GK,23.0,5.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,La-Liga
596,Abderrahman Rebbach,dz ALG,"FW,MF",25.0,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Alaves,La-Liga
597,Asier Villalibre,es ESP,FW,26.0,3.7,1,8,1,12.5,2.16,0.27,0.0,0.0,14.7,0,1,1,1.6,0.8,0.1,-0.6,-0.8,Matches,Alaves,La-Liga
598,Hugo Novoa,es ESP,"DF,MF",21.0,2.6,0,1,0,0.0,0.38,0.0,0.0,,9.7,0,0,0,0.5,0.5,0.49,-0.5,-0.5,Matches,Alaves,La-Liga
599,Luka Romero,ar ARG,"FW,MF",19.0,2.2,0,1,0,0.0,0.45,0.0,0.0,,38.7,0,0,1,0.8,0.0,0.02,-0.8,0.0,Matches,Alaves,La-Liga
600,Pau Cabanes,es ESP,"MF,FW",19.0,2.1,0,2,1,50.0,0.96,0.48,0.0,0.0,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Alaves,La-Liga
601,Adrian Rodriguez,es ESP,GK,23.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,La-Liga
602,Luis Rioja,es ESP,FW,30.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,La-Liga
603,Iñaki Williams,gh GHA,FW,30.0,29.5,6,63,24,38.1,2.14,0.81,0.1,0.25,16.4,0,0,0,7.6,7.6,0.12,-1.6,-1.6,Matches,Athletic-Club,La-Liga
604,Daniel Vivian,es ESP,DF,25.0,29.0,4,18,5,27.8,0.62,0.17,0.22,0.8,13.8,0,0,0,1.9,1.9,0.11,2.1,2.1,Matches,Athletic-Club,La-Liga
605,Álex Berenguer,es ESP,"FW,MF",29.0,26.0,6,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3,0,1,6.8,6.0,0.12,-0.8,0.0,Matches,Athletic-Club,La-Liga
606,Mikel Jauregizar,es ESP,MF,20.0,24.9,2,21,8,38.1,0.84,0.32,0.1,0.25,22.1,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches,Athletic-Club,La-Liga
607,Yuri Berchiche,es ESP,DF,34.0,22.7,0,16,4,25.0,0.7,0.18,0.0,0.0,25.2,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,Athletic-Club,La-Liga
608,Nico Williams,es ESP,FW,22.0,22.2,5,54,19,35.2,2.43,0.86,0.09,0.26,17.6,1,0,0,4.2,4.2,0.08,0.8,0.8,Matches,Athletic-Club,La-Liga
609,Unai Simón,es ESP,GK,27.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
610,Gorka Guruzeta,es ESP,FW,27.0,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,13.6,0,0,0,6.7,6.6,0.11,0.3,0.4,Matches,Athletic-Club,La-Liga
611,Aitor Paredes,es ESP,DF,24.0,20.1,3,6,3,50.0,0.3,0.15,0.5,1.0,4.7,0,0,0,2.3,2.3,0.38,0.7,0.7,Matches,Athletic-Club,La-Liga
612,Beñat Prados,es ESP,MF,23.0,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,20.1,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches,Athletic-Club,La-Liga
613,Yeray Álvarez,es ESP,DF,29.0,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches,Athletic-Club,La-Liga
614,Oihan Sancet,es ESP,MF,24.0,18.0,15,47,17,36.2,2.61,0.94,0.26,0.71,16.7,1,3,3,9.7,7.3,0.16,5.3,4.7,Matches,Athletic-Club,La-Liga
615,Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,0,11,1,9.1,0.67,0.06,0.0,0.0,24.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Athletic-Club,La-Liga
616,Óscar de Marcos,es ESP,DF,35.0,17.4,0,8,2,25.0,0.46,0.12,0.0,0.0,19.7,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches,Athletic-Club,La-Liga
617,Andoni Gorosabel,es ESP,DF,27.0,16.5,0,2,1,50.0,0.12,0.06,0.0,0.0,22.2,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,Athletic-Club,La-Liga
618,Unai Gómez,es ESP,"MF,FW",21.0,14.3,1,19,4,21.1,1.33,0.28,0.05,0.25,17.5,1,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches,Athletic-Club,La-Liga
619,Julen Agirrezabala,es ESP,GK,23.0,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
620,Adama Boiro,es ESP,"DF,FW",22.0,12.2,0,5,0,0.0,0.41,0.0,0.0,,14.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Athletic-Club,La-Liga
621,Mikel Vesga,es ESP,MF,31.0,11.0,0,5,2,40.0,0.46,0.18,0.0,0.0,21.6,0,0,1,1.2,0.4,0.08,-1.2,-0.4,Matches,Athletic-Club,La-Liga
622,Iñigo Lekue,es ESP,DF,31.0,8.6,0,2,0,0.0,0.23,0.0,0.0,,18.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,Athletic-Club,La-Liga
623,Maroan Sannadi,ma MAR,FW,23.0,8.4,1,19,7,36.8,2.27,0.84,0.05,0.14,15.1,0,0,0,3.5,3.5,0.18,-2.5,-2.5,Matches,Athletic-Club,La-Liga
624,Álvaro djaló,es ESP,FW,24.0,7.3,1,15,3,20.0,2.05,0.41,0.07,0.33,18.5,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches,Athletic-Club,La-Liga
625,Unai Núñez,es ESP,DF,27.0,7.2,0,1,0,0.0,0.14,0.0,0.0,,3.3,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches,Athletic-Club,La-Liga
626,Alex Padilla,es ESP,GK,20.0,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
627,Ander Herrera,es ESP,MF,34.0,3.0,0,7,3,42.9,2.31,0.99,0.0,0.0,24.2,0,0,1,1.7,0.9,0.16,-1.7,-0.9,Matches,Athletic-Club,La-Liga
628,Peio Canales,es ESP,"MF,FW",19.0,2.9,0,3,0,0.0,1.04,0.0,0.0,,21.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Athletic-Club,La-Liga
629,Nicolás Serrano,es ESP,FW,21.0,1.2,0,5,1,20.0,4.02,0.8,0.0,0.0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Athletic-Club,La-Liga
630,Aingeru Olabarrieta,es ESP,FW,18.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
631,Javi Martón,es ESP,"FW,MF",25.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
632,Adu Ares,es ESP,FW,22.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
633,Endika Buján,es ESP,FW,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Athletic-Club,La-Liga
634,Jan Oblak,si SVN,GK,31.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Atletico-Madrid,La-Liga
635,Julián Álvarez,ar ARG,FW,24.0,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11.0,0.16,2.9,2.0,Matches,Atletico-Madrid,La-Liga
636,Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,8,48,17,35.4,1.75,0.62,0.15,0.41,18.5,5,1,2,7.4,5.9,0.13,0.6,1.1,Matches,Atletico-Madrid,La-Liga
637,Marcos Llorente,es ESP,"DF,MF",29.0,27.9,2,16,5,31.3,0.57,0.18,0.13,0.4,19.2,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches,Atletico-Madrid,La-Liga
638,Pablo Barrios,es ESP,MF,21.0,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches,Atletico-Madrid,La-Liga
639,Giuliano Simeone,ar ARG,MF,21.0,21.4,2,22,7,31.8,1.03,0.33,0.09,0.29,14.5,0,0,0,2.2,2.2,0.1,-0.2,-0.2,Matches,Atletico-Madrid,La-Liga
640,Robin Le Normand,es ESP,DF,27.0,23.9,1,11,3,27.3,0.46,0.13,0.09,0.33,8.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches,Atletico-Madrid,La-Liga
641,Rodrigo De Paul,ar ARG,MF,30.0,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,1.7,1.7,Matches,Atletico-Madrid,La-Liga
642,Clément Lenglet,fr FRA,DF,29.0,21.9,2,10,4,40.0,0.46,0.18,0.2,0.5,14.9,1,0,0,2.4,2.4,0.24,-0.4,-0.4,Matches,Atletico-Madrid,La-Liga
643,Javi Galán,es ESP,DF,29.0,19.8,0,9,0,0.0,0.45,0.0,0.0,,24.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Atletico-Madrid,La-Liga
644,Samuel Lino,br BRA,"MF,DF",24.0,17.2,3,45,18,40.0,2.61,1.04,0.07,0.17,16.3,0,0,0,6.0,6.0,0.13,-3.0,-3.0,Matches,Atletico-Madrid,La-Liga
645,José María Giménez,uy URU,DF,29.0,22.2,0,5,1,20.0,0.23,0.05,0.0,0.0,8.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Atletico-Madrid,La-Liga
646,Koke,es ESP,MF,32.0,21.4,1,11,4,36.4,0.51,0.19,0.09,0.25,22.6,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches,Atletico-Madrid,La-Liga
647,Conor Gallagher,eng ENG,MF,24.0,18.1,3,22,4,18.2,1.21,0.22,0.14,0.75,19.7,0,0,0,2.8,2.8,0.13,0.2,0.2,Matches,Atletico-Madrid,La-Liga
648,Nahuel Molina,ar ARG,DF,26.0,17.7,0,9,1,11.1,0.51,0.06,0.0,0.0,19.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,Atletico-Madrid,La-Liga
649,Alexander Sørloth,no NOR,FW,28.0,17.4,20,78,40,51.3,4.48,2.3,0.24,0.48,12.0,0,1,1,16.8,16.0,0.21,3.2,3.0,Matches,Atletico-Madrid,La-Liga
650,Reinildo Mandava,mz MOZ,DF,30.0,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Atletico-Madrid,La-Liga
651,César Azpilicueta,es ESP,DF,34.0,9.7,1,5,2,40.0,0.51,0.21,0.2,0.5,17.8,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,Atletico-Madrid,La-Liga
652,Axel Witsel,be BEL,DF,35.0,9.5,0,1,0,0.0,0.11,0.0,0.0,,10.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Atletico-Madrid,La-Liga
653,Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,0,14,4,28.6,2.44,0.7,0.0,0.0,17.7,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,Atletico-Madrid,La-Liga
654,Ángel Correa,ar ARG,"FW,MF",29.0,8.9,4,34,14,41.2,3.8,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5,Matches,Atletico-Madrid,La-Liga
655,Juan Musso,ar ARG,GK,30.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Atletico-Madrid,La-Liga
656,Thomas Lemar,fr FRA,MF,28.0,0.9,0,2,1,50.0,2.12,1.06,0.0,0.0,23.4,1,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,Atletico-Madrid,La-Liga
657,Adrian Niño,es ESP,FW,20.0,0.1,0,2,0,0.0,15.0,0.0,0.0,,13.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,Atletico-Madrid,La-Liga
658,Pedri,es ESP,MF,21.0,32.0,4,25,11,44.0,0.78,0.34,0.16,0.36,19.6,0,0,0,2.2,2.2,0.09,1.8,1.8,Matches,Barcelona,La-Liga
659,Raphinha,br BRA,"FW,MF",27.0,31.5,18,112,40,35.7,3.55,1.27,0.14,0.4,19.1,18,2,2,19.2,17.6,0.16,-1.2,-1.6,Matches,Barcelona,La-Liga
660,Robert Lewandowski,pl POL,FW,35.0,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24.0,0.22,-0.1,0.0,Matches,Barcelona,La-Liga
661,Lamine Yamal,es ESP,FW,17.0,31.7,9,144,46,31.9,4.54,1.45,0.06,0.2,19.4,0,0,0,9.8,9.8,0.07,-0.8,-0.8,Matches,Barcelona,La-Liga
662,Pau Cubarsí,es ESP,DF,17.0,29.1,0,8,0,0.0,0.28,0.0,0.0,,8.9,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches,Barcelona,La-Liga
663,Jules Koundé,fr FRA,DF,25.0,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,14.1,0,0,0,1.8,1.8,0.11,0.2,0.2,Matches,Barcelona,La-Liga
