,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Squad,League
39,Ian Maatsen,nl NED,DF,22.0,12.7,2,0,0,11,9,3,51,15,17,0,1,0,67,10,6,62.5,Matches,Aston-Villa,Premier-League
40,Marco Asensio,es ESP,MF,28.0,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0,Matches,Aston-Villa,Premier-League
41,Diego Carlos,br BRA,DF,31.0,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches,Aston-Villa,Premier-League
42,Axel Disasi,fr FRA,DF,26.0,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches,Aston-Villa,Premier-League
43,Lamare Bogarde,nl NED,"DF,MF",20.0,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches,Aston-Villa,Premier-League
44,Andrés García,es ESP,"DF,MF",21.0,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches,Aston-Villa,Premier-League
45,Jáder Durán,co COL,FW,20.0,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches,Aston-Villa,Premier-League
46,Marcus Rashford,eng ENG,FW,26.0,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1,Matches,Aston-Villa,Premier-League
47,Ross Barkley,eng ENG,MF,30.0,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0,Matches,Aston-Villa,Premier-League
48,Jaden Philogene Bidace,eng ENG,"FW,MF",22.0,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches,Aston-Villa,Premier-League
49,Donyell Malen,nl NED,FW,25.0,3.4,0,0,0,1,5,2,8,0,4,0,0,0,9,4,4,50.0,Matches,Aston-Villa,Premier-League
50,Robin Olsen,se SWE,GK,34.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Aston-Villa,Premier-League
51,Kosta Nedeljković,rs SRB,DF,18.0,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches,Aston-Villa,Premier-League
52,Emi Buendía,ar ARG,"MF,FW",27.0,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches,Aston-Villa,Premier-League
53,Milos Kerkez,hu HUN,DF,20.0,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4,Matches,Bournemouth,Premier-League
54,Antoine Semenyo,gh GHA,FW,24.0,35.6,9,0,0,73,37,15,59,11,35,1,0,0,158,66,76,46.5,Matches,Bournemouth,Premier-League
55,Illia Zabarnyi,ua UKR,DF,21.0,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6,Matches,Bournemouth,Premier-League
56,Lewis Cook,eng ENG,"MF,DF",27.0,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7,Matches,Bournemouth,Premier-League
57,Kepa Arrizabalaga,es ESP,GK,29.0,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5,Matches,Bournemouth,Premier-League
58,Justin Kluivert,nl NED,MF,25.0,26.0,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2,Matches,Bournemouth,Premier-League
59,Evanilson,br BRA,FW,24.0,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4,Matches,Bournemouth,Premier-League
60,Ryan Christie,sct SCO,MF,29.0,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches,Bournemouth,Premier-League
61,Dean Huijsen,es ESP,DF,19.0,27.0,10,0,0,31,10,2,12,51,26,0,0,0,105,68,44,60.7,Matches,Bournemouth,Premier-League
62,Dango Ouattara,bf BFA,FW,22.0,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7,Matches,Bournemouth,Premier-League
63,Tyler Adams,us USA,MF,25.0,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3,Matches,Bournemouth,Premier-League
64,Marcus Tavernier,eng ENG,"FW,MF",25.0,21.5,6,0,0,34,28,4,108,5,24,0,0,0,119,26,33,44.1,Matches,Bournemouth,Premier-League
65,Adam Smith,eng ENG,DF,33.0,17.7,7,0,0,19,12,0,33,15,12,0,0,0,50,14,15,48.3,Matches,Bournemouth,Premier-League
66,Marcos Senesi,ar ARG,DF,27.0,12.3,5,0,0,22,8,0,11,14,21,0,0,0,71,32,29,52.5,Matches,Bournemouth,Premier-League
67,David Brooks,wls WAL,"FW,MF",27.0,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2,Matches,Bournemouth,Premier-League
68,Alex Scott,eng ENG,MF,20.0,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50.0,Matches,Bournemouth,Premier-League
69,Julian Araujo,mx MEX,DF,22.0,5.5,2,0,0,7,2,1,9,6,5,0,0,0,29,3,9,25.0,Matches,Bournemouth,Premier-League
70,James Hill,eng ENG,DF,22.0,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches,Bournemouth,Premier-League
71,Mark Travers,ie IRL,GK,25.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches,Bournemouth,Premier-League
72,Enes Ünal,tr TUR,"FW,MF",27.0,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches,Bournemouth,Premier-League
73,Neto,br BRA,GK,35.0,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,,Matches,Bournemouth,Premier-League
74,Luis Sinisterra,co COL,"FW,MF",25.0,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0,Matches,Bournemouth,Premier-League
75,Philip Billing,dk DEN,MF,28.0,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches,Bournemouth,Premier-League
76,Max Aarons,eng ENG,DF,24.0,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches,Bournemouth,Premier-League
77,Daniel Jebbison,ca CAN,FW,20.0,1.3,1,0,0,2,4,0,3,1,3,0,0,0,10,2,10,16.7,Matches,Bournemouth,Premier-League
78,Ben Winterburn,eng ENG,"MF,FW",19.0,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,Matches,Bournemouth,Premier-League
79,Julio Soler,ar ARG,"DF,FW",19.0,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,Matches,Bournemouth,Premier-League
80,Remy Rees-Dottin,eng ENG,FW,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Bournemouth,Premier-League
81,Zain Silcott-Duberry,ms MSR,FW,19.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches,Bournemouth,Premier-League
82,Nathan Collins,ie IRL,DF,23.0,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9,Matches,Brentford,Premier-League
83,Bryan Mbeumo,cm CMR,FW,24.0,37.9,3,0,0,25,44,11,202,14,31,0,0,0,156,34,74,31.5,Matches,Brentford,Premier-League
84,Mark Flekken,nl NED,GK,31.0,36.4,1,0,0,0,3,0,0,0,4,0,0,0,39,4,0,100.0,Matches,Brentford,Premier-League
85,Keane Lewis-Potter,eng ENG,"DF,FW",23.0,34.4,7,0,0,18,31,4,78,21,27,1,0,0,146,27,35,43.5,Matches,Brentford,Premier-League
86,Yoane Wissa,cd COD,FW,27.0,32.4,5,0,0,34,51,14,20,8,12,1,0,0,81,30,36,45.5,Matches,Brentford,Premier-League
87,Mikkel Damsgaard,dk DEN,"MF,FW",24.0,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8,Matches,Brentford,Premier-League
88,Christian Nørgaard,dk DEN,MF,30.0,31.3,8,1,0,44,28,1,17,49,49,0,0,0,193,49,30,62.0,Matches,Brentford,Premier-League
89,Sepp van den Berg,nl NED,DF,22.0,28.7,3,0,0,23,5,1,7,21,24,1,0,0,97,94,77,55.0,Matches,Brentford,Premier-League
90,Vitaly Janelt,de GER,MF,26.0,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3,Matches,Brentford,Premier-League
91,Kevin Schade,de GER,FW,22.0,25.5,3,0,0,21,38,13,38,5,25,1,0,0,83,90,80,52.9,Matches,Brentford,Premier-League
92,Ethan Pinnock,jm JAM,DF,31.0,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4,Matches,Brentford,Premier-League
93,Kristoffer Ajer,no NOR,DF,26.0,16.0,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54.0,Matches,Brentford,Premier-League
94,Yehor Yarmoliuk,ua UKR,MF,20.0,16.1,6,0,0,19,13,2,16,13,28,0,0,0,113,8,10,44.4,Matches,Brentford,Premier-League
95,Mads Roerslev,dk DEN,DF,25.0,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,Matches,Brentford,Premier-League
96,Mathias Jensen,dk DEN,MF,28.0,9.6,2,0,0,7,10,0,33,8,10,0,0,0,48,8,5,61.5,Matches,Brentford,Premier-League
97,Michael Kayode,it ITA,DF,20.0,5.9,2,0,0,8,3,0,10,7,11,0,0,0,34,9,4,69.2,Matches,Brentford,Premier-League
98,Fabio Carvalho,pt POR,"FW,MF",21.0,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,Matches,Brentford,Premier-League
99,Ben Mee,eng ENG,DF,34.0,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0,Matches,Brentford,Premier-League
100,Thiago,br BRA,"FW,MF",23.0,1.9,0,0,0,3,3,1,2,2,3,0,0,0,12,7,5,58.3,Matches,Brentford,Premier-League
101,Hákon Valdimarsson,is ISL,GK,22.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,Brentford,Premier-League
