,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
0,David Raya,es ESP,GK,29-238,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0,Matches,Arsenal,Premier-League
1,Emiliano Martínez,ar ARG,GK,32-251,35,35,3060,34.0,45,1.32,136,90,67.6,17,9,9,7,20.0,2,1,1,0,50.0,Matches,Aston-Villa,Premier-League
2,Robin Olsen,se SWE,GK,35-123,3,1,180,2.0,4,2.0,9,5,55.6,1,0,0,1,100.0,0,0,0,0,,Matches,Aston-Villa,Premier-League
3,Kepa Arrizabalaga,es ESP,GK,30-221,29,29,2610,29.0,36,1.24,129,93,75.2,12,7,10,7,24.1,4,4,0,0,0.0,Matches,Bournemouth,Premier-League
4,Mark Travers,ie IRL,GK,25-359,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches,Bournemouth,Premier-League
5,Neto,br BRA,GK,35-297,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,Matches,Bournemouth,Premier-League
6,Mark Flekken,nl NED,GK,31-332,35,35,3095,34.4,51,1.48,190,141,73.7,16,7,12,7,20.0,1,1,0,0,0.0,Matches,Brentford,Premier-League
7,Hákon Rafn Valdimarsson,is ISL,GK,23-210,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches,Brentford,Premier-League
8,Bart Verbruggen,nl NED,GK,22-266,34,34,3060,34.0,55,1.62,136,83,65.4,12,13,9,7,20.6,8,8,0,0,0.0,Matches,Brighton-and-Hove-Albion,Premier-League
9,Jason Steele,eng ENG,GK,34-266,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches,Brighton-and-Hove-Albion,Premier-League
10,Robert Sánchez,es ESP,GK,27-174,29,29,2610,29.0,32,1.1,118,85,76.3,15,9,5,8,27.6,5,4,1,0,20.0,Matches,Chelsea,Premier-League
