,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
146,Robert Sánchez,es ESP,GK,27-175,30.0,1254,924,1242,12,0,0,1254,0,0,,0,,839,4180,2651,0,0,0,0,0,782,0,Matches,Chelsea,Premier-League
147,Nicolas Jackson,sn SEN,FW,23-326,24.7,687,19,50,285,361,141,687,61,18,29.5,32,52.5,417,2510,1316,47,25,32,71,41,514,129,Matches,Chelsea,Premier-League
148,Noni Madueke,eng ENG,FW,23-063,20.6,894,20,92,262,555,174,894,91,40,44.0,41,45.1,593,4961,3192,144,47,88,47,24,689,214,Matches,Chelsea,Premier-League
149,Pedro Neto,pt POR,FW,25-064,23.4,1082,13,99,315,685,111,1082,99,33,33.3,42,42.4,705,5948,3122,119,54,43,42,26,788,241,Matches,Chelsea,Premier-League
150,Malo Gusto,fr FRA,DF,21-358,20.5,1585,62,383,768,447,43,1585,16,4,25.0,11,68.8,878,4461,2214,49,35,8,16,17,1068,84,Matches,Chelsea,Premier-League
151,Jadon Sancho,eng ENG,FW,25-048,18.9,943,11,115,271,567,121,943,96,45,46.9,39,40.6,635,4359,2399,100,33,57,29,21,738,221,Matches,Chelsea,Premier-League
152,Wesley Fofana,fr FRA,DF,24-146,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4,Matches,Chelsea,Premier-League
153,Tosin Adarabioyo,eng ENG,DF,27-230,13.7,1198,160,570,603,26,13,1198,5,4,80.0,0,0.0,713,2950,1690,5,2,0,3,0,916,1,Matches,Chelsea,Premier-League
154,Trevoh Chalobah,eng ENG,DF,25-311,10.1,774,73,331,389,59,12,774,5,2,40.0,1,20.0,426,1753,772,4,5,1,3,2,574,2,Matches,Chelsea,Premier-League
155,Roméo Lavia,be BEL,MF,21-126,8.4,480,16,105,312,69,1,480,14,9,64.3,5,35.7,288,1315,535,3,9,0,3,7,348,7,Matches,Chelsea,Premier-League
