,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
446,Mateus Fernandes,pt POR,MF,20-306,30.3,1653,68,364,809,518,48,1653,102,46,45.1,45,44.1,854,5486,3038,75,68,9,55,33,1019,103,Matches,Southampton,Premier-League
447,Taylor Harwood-Bellis,eng ENG,DF,23-102,30.5,2393,327,1118,1106,179,40,2393,3,3,100.0,0,0.0,1385,6503,3765,29,27,0,15,5,1730,9,Matches,Southampton,Premier-League
448,Jan Bednarek,pl POL,DF,29-030,28.1,2049,386,1091,924,41,15,2049,3,3,100.0,0,0.0,1046,3845,1742,5,5,1,9,3,1307,2,Matches,Southampton,Premier-League
449,Aaron Ramsdale,eng ENG,GK,26-363,28.0,1240,896,1214,30,0,0,1240,0,0,,0,,746,3816,2258,0,0,0,3,0,665,0,Matches,Southampton,Premier-League
450,Flynn Downes,eng ENG,MF,26-112,21.9,1218,86,368,645,214,21,1218,16,5,31.3,8,50.0,579,3169,1626,25,21,4,13,17,852,29,Matches,Southampton,Premier-League
451,Joe Aribo,ng NGA,"MF,DF",28-295,21.7,1223,50,301,636,297,44,1223,47,19,40.4,22,46.8,717,3941,1942,35,28,12,25,18,891,65,Matches,Southampton,Premier-League
452,Tyler Dibling,eng ENG,"FW,MF",19-061,20.1,845,27,122,379,363,41,845,105,44,41.9,39,37.1,545,4299,2154,68,49,26,43,54,631,94,Matches,Southampton,Premier-League
453,Ryan Manning,ie IRL,"DF,MF",28-332,16.2,968,72,260,397,321,22,968,36,11,30.6,16,44.4,483,2023,982,14,13,4,17,5,573,74,Matches,Southampton,Premier-League
454,Lesley Ugochukwu,fr FRA,MF,21-047,17.4,848,46,206,481,167,24,848,26,18,69.2,7,26.9,467,2535,1218,29,15,6,12,13,578,20,Matches,Southampton,Premier-League
455,Jack Stephens,eng ENG,DF,31-105,14.4,1009,124,431,486,96,11,1009,4,0,0.0,4,100.0,570,2661,1218,13,12,1,3,3,710,2,Matches,Southampton,Premier-League
456,Yukinari Sugawara,jp JPN,"DF,MF",24-318,16.3,1023,61,306,395,327,29,1023,20,9,45.0,10,50.0,553,2517,1354,32,15,7,18,4,692,76,Matches,Southampton,Premier-League
457,Kamaldeen Sulemana,gh GHA,"FW,MF",23-086,14.1,536,15,76,198,281,53,536,94,34,36.2,52,55.3,349,2935,1448,59,34,25,45,23,380,81,Matches,Southampton,Premier-League
458,Adam Armstrong,eng ENG,"FW,MF",28-091,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches,Southampton,Premier-League
459,Cameron Archer,eng ENG,FW,23-295,15.5,368,16,62,161,148,51,367,33,14,42.4,18,54.5,212,1088,500,20,9,14,35,25,258,65,Matches,Southampton,Premier-League
460,James Bree,eng ENG,DF,27-213,10.9,639,48,215,273,156,10,639,8,4,50.0,2,25.0,338,1497,752,12,12,0,7,5,408,37,Matches,Southampton,Premier-League
461,Paul Onuachu,ng NGA,FW,30-349,11.4,428,17,43,228,160,66,428,25,7,28.0,14,56.0,208,829,243,7,5,2,49,33,349,40,Matches,Southampton,Premier-League
462,Nathan Wood-Gordon,eng ENG,DF,22-346,6.9,457,54,219,212,27,2,457,5,3,60.0,1,20.0,253,1150,454,2,6,0,4,1,339,0,Matches,Southampton,Premier-League
463,William Smallbone,ie IRL,MF,25-080,7.2,402,15,76,199,131,14,402,6,4,66.7,2,33.3,182,774,391,5,9,1,11,5,243,23,Matches,Southampton,Premier-League
464,Alex McCarthy,eng ENG,GK,35-160,5.0,173,141,173,0,0,0,173,0,0,,0,,100,452,276,0,0,0,0,0,88,0,Matches,Southampton,Premier-League
465,Adam Lallana,eng ENG,MF,37-002,4.0,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10,Matches,Southampton,Premier-League
466,Ben Brereton,cl CHI,FW,26-024,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches,Southampton,Premier-League
467,Ryan Fraser,sct SCO,"FW,DF",31-077,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,Matches,Southampton,Premier-League
468,Welington,br BRA,"DF,MF",24-082,3.4,179,21,78,61,43,3,179,5,3,60.0,1,20.0,63,247,125,3,3,1,8,2,72,10,Matches,Southampton,Premier-League
469,Ross Stewart,sct SCO,FW,28-305,3.2,102,8,22,41,39,6,102,2,1,50.0,1,50.0,51,203,63,1,0,1,6,7,76,6,Matches,Southampton,Premier-League
470,Joe Lumley,eng ENG,GK,30-086,3.0,164,116,161,3,0,0,164,0,0,,0,,103,476,296,0,0,0,0,0,108,0,Matches,Southampton,Premier-League
471,Armel Bella Kotchap,de GER,DF,23-152,3.7,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0,Matches,Southampton,Premier-League
472,Charlie Taylor,eng ENG,DF,31-236,3.0,219,21,93,91,36,1,219,2,2,100.0,0,0.0,91,386,155,3,3,0,1,1,133,6,Matches,Southampton,Premier-League
473,Albert Grønbaek,dk DEN,"FW,MF",23-354,1.6,38,2,9,14,15,2,38,4,0,0.0,4,100.0,18,79,15,1,0,1,5,4,21,3,Matches,Southampton,Premier-League
474,Maxwel Cornet,ci CIV,FW,28-227,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches,Southampton,Premier-League
475,Samuel Edozie,eng ENG,"DF,FW",22-104,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches,Southampton,Premier-League
476,Jay Robinson,eng ENG,"MF,FW",18-058,0.4,17,2,5,5,8,1,17,5,2,40.0,3,60.0,10,69,34,1,1,0,0,0,10,2,Matches,Southampton,Premier-League
477,Samuel Amo-Ameyaw,eng ENG,"FW,DF",18-298,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches,Southampton,Premier-League
478,Ronnie Edwards,eng ENG,DF,22-045,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0,Matches,Southampton,Premier-League
479,Carlos Alcaraz,ar ARG,MF,22-163,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches,Southampton,Premier-League
480,Pedro Porro,es ESP,DF,25-241,28.0,2180,126,639,795,759,32,2180,39,13,33.3,24,61.5,1159,5276,2744,64,42,5,25,18,1262,107,Matches,Tottenham-Hotspur,Premier-League
481,Dejan Kulusevski,se SWE,"MF,FW",25-017,26.5,1276,24,149,432,719,158,1276,117,38,32.5,71,60.7,823,6157,3208,120,67,40,77,74,895,210,Matches,Tottenham-Hotspur,Premier-League
482,Dominic Solanke,eng ENG,FW,27-240,23.5,636,31,68,290,284,111,636,50,16,32.0,31,62.0,374,2024,803,29,21,14,67,47,448,88,Matches,Tottenham-Hotspur,Premier-League
483,Brennan Johnson,wls WAL,FW,23-354,23.1,825,16,89,282,466,120,825,44,19,43.2,22,50.0,527,2805,1410,57,21,32,25,16,609,194,Matches,Tottenham-Hotspur,Premier-League
484,Guglielmo Vicario,it ITA,GK,28-217,23.0,892,599,874,18,0,0,892,1,1,100.0,0,0.0,636,2955,1635,0,0,0,0,0,577,0,Matches,Tottenham-Hotspur,Premier-League
485,Son Heung-min,kr KOR,FW,32-308,22.6,1102,15,110,351,651,119,1100,82,29,35.4,40,48.8,738,4586,2382,89,45,41,25,31,844,262,Matches,Tottenham-Hotspur,Premier-League
486,Destiny Udogie,it ITA,DF,22-165,20.4,1336,60,377,591,383,49,1336,32,13,40.6,16,50.0,735,4188,2290,54,39,12,32,19,796,93,Matches,Tottenham-Hotspur,Premier-League
487,James Maddison,eng ENG,MF,28-170,20.1,1464,26,210,691,576,77,1464,77,33,42.9,34,44.2,1026,5128,2279,45,39,20,23,25,1125,95,Matches,Tottenham-Hotspur,Premier-League
488,Pape Matar Sarr,sn SEN,MF,22-240,20.2,1215,41,254,684,297,28,1215,28,11,39.3,14,50.0,753,4419,1861,32,36,5,29,21,853,52,Matches,Tottenham-Hotspur,Premier-League
489,Rodrigo Bentancur,uy URU,MF,27-321,17.4,1269,72,307,756,215,24,1269,18,8,44.4,8,44.4,748,3491,1455,26,23,5,18,19,833,34,Matches,Tottenham-Hotspur,Premier-League
490,Djed Spence,eng ENG,DF,24-276,18.8,1375,77,476,625,296,25,1375,71,36,50.7,28,39.4,769,4559,2434,58,42,7,26,33,844,70,Matches,Tottenham-Hotspur,Premier-League
491,Cristian Romero,ar ARG,DF,27-015,15.7,1377,157,594,720,74,23,1377,4,1,25.0,2,50.0,896,4702,2893,12,18,0,10,5,936,3,Matches,Tottenham-Hotspur,Premier-League
492,Archie Gray,eng ENG,"DF,MF",19-061,17.5,1220,140,575,558,97,2,1220,11,6,54.5,4,36.4,845,3907,1621,7,6,0,10,10,907,17,Matches,Tottenham-Hotspur,Premier-League
493,Yves Bissouma,ml MLI,MF,28-255,14.9,1007,66,293,569,153,5,1007,21,7,33.3,14,66.7,589,3498,1557,15,17,0,25,15,686,3,Matches,Tottenham-Hotspur,Premier-League
494,Radu Drăgușin,ro ROU,DF,23-098,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2,Matches,Tottenham-Hotspur,Premier-League
495,Ben Davies,wls WAL,DF,32-018,13.5,1122,196,601,473,48,13,1122,1,1,100.0,0,0.0,623,3114,1757,14,10,0,5,0,740,6,Matches,Tottenham-Hotspur,Premier-League
496,Lucas Bergvall,se SWE,MF,19-099,13.5,885,36,188,478,232,22,885,45,21,46.7,20,44.4,531,3392,1634,33,21,4,20,19,586,31,Matches,Tottenham-Hotspur,Premier-League
497,Micky van de Ven,nl NED,DF,24-023,10.6,862,101,442,393,36,9,862,8,4,50.0,4,50.0,599,2790,1388,8,10,1,5,4,629,1,Matches,Tottenham-Hotspur,Premier-League
498,Mathys Tel,fr FRA,FW,20-015,8.2,354,4,42,132,191,33,353,42,12,28.6,25,59.5,233,1381,699,22,22,8,23,12,241,60,Matches,Tottenham-Hotspur,Premier-League
499,Wilson Odobert,fr FRA,FW,20-165,8.0,344,5,33,124,190,34,344,31,12,38.7,16,51.6,246,1860,1085,43,23,18,17,16,258,65,Matches,Tottenham-Hotspur,Premier-League
500,Kevin Danso,at AUT,DF,26-235,7.4,569,77,316,230,27,8,569,3,2,66.7,1,33.3,380,2044,1088,11,5,0,7,2,409,1,Matches,Tottenham-Hotspur,Premier-League
501,Fraser Forster,eng ENG,GK,37-056,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,Matches,Tottenham-Hotspur,Premier-League
502,Antonín Kinský,cz CZE,GK,22-060,5.0,198,170,195,3,0,0,198,0,0,,0,,122,595,349,1,0,0,0,0,113,0,Matches,Tottenham-Hotspur,Premier-League
503,Timo Werner,de GER,"FW,MF",29-067,5.7,298,8,24,78,203,33,298,19,10,52.6,8,42.1,215,1768,1062,42,24,18,14,6,227,89,Matches,Tottenham-Hotspur,Premier-League
504,Richarlison,br BRA,FW,28-002,5.3,161,8,19,81,62,29,161,15,1,6.7,13,86.7,87,419,164,8,8,3,9,8,118,22,Matches,Tottenham-Hotspur,Premier-League
505,Mikey Moore,eng ENG,FW,17-274,3.1,124,2,12,35,78,13,124,15,2,13.3,11,73.3,93,704,330,11,5,5,9,6,94,37,Matches,Tottenham-Hotspur,Premier-League
506,Brandon Austin,eng ENG,GK,26-124,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches,Tottenham-Hotspur,Premier-League
507,Sergio Reguilón,es ESP,DF,28-147,1.4,121,2,28,61,33,3,121,4,2,50.0,0,0.0,64,293,180,4,2,1,1,1,74,10,Matches,Tottenham-Hotspur,Premier-League
508,Dane Scarlett,eng ENG,"FW,MF",21-049,0.4,9,1,3,5,1,1,9,0,0,,0,,5,66,33,1,0,0,0,1,4,1,Matches,Tottenham-Hotspur,Premier-League
509,Alfie Dorrington,eng ENG,DF,20-022,0.2,16,0,11,5,0,0,16,0,0,,0,,12,61,26,0,0,0,0,0,13,0,Matches,Tottenham-Hotspur,Premier-League
510,Will Lankshear,eng ENG,"FW,MF",20-022,0.1,3,0,0,2,1,0,3,0,0,,0,,3,3,0,0,0,0,2,0,3,1,Matches,Tottenham-Hotspur,Premier-League
511,Max Kilman,eng ENG,DF,27-354,35.2,2235,447,1251,893,107,32,2235,20,14,70.0,2,10.0,1194,5361,3069,30,14,2,16,3,1479,6,Matches,West-Ham-United,Premier-League
512,Aaron Wan-Bissaka,eng ENG,DF,27-167,33.0,2099,139,651,895,584,47,2099,115,60,52.2,41,35.7,998,6299,3494,105,61,14,34,21,1211,154,Matches,West-Ham-United,Premier-League
513,Jarrod Bowen,eng ENG,"FW,MF",28-143,31.0,1145,25,127,425,617,157,1144,119,40,33.6,69,58.0,686,4989,2379,103,44,58,68,72,754,191,Matches,West-Ham-United,Premier-League
514,Mohammed Kudus,gh GHA,"FW,MF",24-283,27.7,1214,12,163,509,585,122,1214,199,89,44.7,92,46.2,801,5305,2486,95,57,41,70,92,944,207,Matches,West-Ham-United,Premier-League
515,Tomáš Souček,cz CZE,MF,30-074,26.9,1217,118,338,595,288,100,1217,12,6,50.0,6,50.0,477,1455,515,8,10,3,19,13,726,67,Matches,West-Ham-United,Premier-League
516,Lucas Paquetá,br BRA,"MF,FW",27-258,26.0,1738,62,360,957,435,57,1736,43,18,41.9,20,46.5,891,3185,1300,22,32,2,53,50,1220,82,Matches,West-Ham-United,Premier-League
517,Emerson Palmieri,it ITA,DF,30-282,23.5,1325,82,422,559,359,28,1325,30,10,33.3,17,56.7,555,3013,1737,47,25,9,24,7,747,83,Matches,West-Ham-United,Premier-League
518,Alphonse Areola,fr FRA,GK,32-074,24.1,1011,806,1001,11,0,0,1011,0,0,,0,,578,2353,1274,0,0,0,0,0,536,0,Matches,West-Ham-United,Premier-League
519,Konstantinos Mavropanos,gr GRE,DF,27-152,21.7,1446,224,755,637,62,24,1446,17,9,52.9,5,29.4,802,3969,2152,16,10,1,12,0,944,2,Matches,West-Ham-United,Premier-League
520,Edson Álvarez,mx MEX,MF,27-200,18.4,1126,63,333,623,179,12,1126,32,14,43.8,13,40.6,625,3492,1592,22,21,2,25,13,754,18,Matches,West-Ham-United,Premier-League
521,Jean-Clair Todibo,fr FRA,DF,25-133,18.3,1143,152,632,476,44,10,1143,14,7,50.0,7,50.0,666,2824,1395,9,5,0,13,10,774,5,Matches,West-Ham-United,Premier-League
522,Guido Rodríguez,ar ARG,MF,31-030,12.0,658,46,209,390,60,3,658,4,3,75.0,0,0.0,307,1070,423,3,5,1,3,7,379,5,Matches,West-Ham-United,Premier-League
523,Carlos Soler,es ESP,"MF,FW",28-130,15.3,764,27,177,396,196,23,764,18,8,44.4,9,50.0,354,1739,735,16,16,4,13,14,520,34,Matches,West-Ham-United,Premier-League
524,Łukasz Fabiański,pl POL,GK,40-024,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches,West-Ham-United,Premier-League
525,Michail Antonio,jm JAM,FW,35-045,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches,West-Ham-United,Premier-League
526,Vladimír Coufal,cz CZE,DF,32-263,10.6,633,58,240,267,129,11,633,9,3,33.3,3,33.3,257,1482,743,19,8,2,11,6,343,28,Matches,West-Ham-United,Premier-League
527,James Ward-Prowse,eng ENG,MF,30-192,10.0,746,28,161,456,131,8,746,5,2,40.0,3,60.0,378,1765,770,9,14,0,3,6,522,4,Matches,West-Ham-United,Premier-League
528,Aaron Cresswell,eng ENG,DF,35-148,8.5,636,43,254,305,82,1,636,2,1,50.0,1,50.0,271,998,460,5,8,0,4,0,394,3,Matches,West-Ham-United,Premier-League
529,Crysencio Summerville,nl NED,"FW,MF",23-194,8.7,372,9,47,147,181,38,372,39,13,33.3,18,46.2,207,1463,762,29,15,13,20,16,259,71,Matches,West-Ham-United,Premier-League
530,Oliver Scarles,eng ENG,DF,19-151,6.6,420,27,140,166,118,7,420,6,1,16.7,5,83.3,190,770,445,11,9,1,10,3,243,39,Matches,West-Ham-United,Premier-League
531,Niclas Füllkrug,de GER,FW,32-092,7.6,229,15,21,116,93,35,229,6,1,16.7,4,66.7,97,364,193,7,4,3,16,5,166,25,Matches,West-Ham-United,Premier-League
532,Danny Ings,eng ENG,"FW,MF",32-293,3.2,139,2,15,51,73,27,139,7,4,57.1,2,28.6,63,324,118,6,0,2,6,6,96,29,Matches,West-Ham-United,Premier-League
533,Andy Irving,sct SCO,MF,24-364,1.8,150,7,37,89,24,0,150,1,1,100.0,0,0.0,73,305,137,0,1,0,1,3,104,4,Matches,West-Ham-United,Premier-League
534,Evan Ferguson,ie IRL,FW,20-205,1.7,66,1,6,30,31,10,66,5,3,60.0,2,40.0,31,123,41,1,1,1,8,5,42,7,Matches,West-Ham-United,Premier-League
535,Luis Guilherme,br BRA,"MF,FW",19-092,1.5,85,3,19,30,37,4,85,9,5,55.6,2,22.2,42,324,136,3,3,1,4,3,55,13,Matches,West-Ham-United,Premier-League
536,Lewis Orford,eng ENG,MF,19-083,0.5,42,1,8,28,7,2,42,0,0,,0,,22,98,27,0,0,0,1,0,31,1,Matches,West-Ham-United,Premier-League
537,Kaelan Casey,eng ENG,DF,20-196,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
538,Rayan Aït-Nouri,dz ALG,DF,23-340,32.8,2015,88,549,861,632,90,2015,131,61,46.6,54,41.2,1056,5849,3055,86,58,28,44,45,1231,163,Matches,Wolverhampton-Wanderers,Premier-League
539,João Gomes,br BRA,MF,24-089,31.5,1877,59,410,1033,460,42,1877,59,26,44.1,26,44.1,978,5740,2611,53,50,6,38,49,1254,70,Matches,Wolverhampton-Wanderers,Premier-League
540,Nélson Semedo,pt POR,DF,31-177,30.6,1608,119,462,733,432,26,1608,66,30,45.5,28,42.4,830,4808,2471,63,36,10,42,20,916,113,Matches,Wolverhampton-Wanderers,Premier-League
541,Jørgen Strand Larsen,no NOR,FW,25-095,27.7,702,35,84,332,287,104,702,17,7,41.2,10,58.8,332,1154,454,17,14,9,88,32,510,108,Matches,Wolverhampton-Wanderers,Premier-League
542,André,br BRA,MF,23-300,26.0,1536,88,421,988,144,3,1536,30,15,50.0,11,36.7,856,3515,1542,8,15,0,27,21,1032,11,Matches,Wolverhampton-Wanderers,Premier-League
543,José Sá,pt POR,GK,32-115,28.0,948,754,939,10,0,0,948,7,7,100.0,0,0.0,595,3542,2308,0,0,0,1,0,469,0,Matches,Wolverhampton-Wanderers,Premier-League
544,Matheus Cunha,br BRA,"MF,FW",25-350,27.6,1466,22,175,665,674,120,1465,131,58,44.3,58,44.3,844,6335,3149,105,88,38,74,49,985,150,Matches,Wolverhampton-Wanderers,Premier-League
545,Toti Gomes,pt POR,DF,26-116,27.0,1873,213,888,906,101,15,1873,29,19,65.5,8,27.6,1103,5355,2927,25,20,0,18,13,1280,17,Matches,Wolverhampton-Wanderers,Premier-League
546,Matt Doherty,ie IRL,DF,33-116,22.5,1483,124,590,727,184,26,1483,20,11,55.0,6,30.0,793,3572,2133,29,19,4,11,5,948,40,Matches,Wolverhampton-Wanderers,Premier-League
547,Jean-Ricner Bellegarde,fr FRA,"MF,FW",26-319,17.6,773,24,141,350,299,46,773,61,14,23.0,31,50.8,476,3053,1476,51,35,11,39,25,533,85,Matches,Wolverhampton-Wanderers,Premier-League
548,Santiago Bueno,uy URU,DF,26-184,18.7,1023,169,520,485,21,6,1023,4,0,0.0,4,100.0,555,2727,1430,1,2,0,2,2,660,1,Matches,Wolverhampton-Wanderers,Premier-League
549,Mario Lemina,ga GAB,"MF,DF",31-253,15.2,809,92,324,378,119,18,809,16,10,62.5,4,25.0,382,2068,1038,8,12,2,21,11,482,21,Matches,Wolverhampton-Wanderers,Premier-League
550,Emmanuel Agbadou,ci CIV,DF,27-329,13.7,1019,172,577,426,23,5,1019,12,9,75.0,2,16.7,645,3046,1398,3,3,0,3,4,686,2,Matches,Wolverhampton-Wanderers,Premier-League
551,Marshall Munetsi,zw ZIM,"MF,FW",28-324,10.8,324,18,54,169,104,30,324,10,2,20.0,7,70.0,125,473,165,7,3,3,30,12,159,28,Matches,Wolverhampton-Wanderers,Premier-League
552,Craig Dawson,eng ENG,DF,35-006,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches,Wolverhampton-Wanderers,Premier-League
553,Gonçalo Guedes,pt POR,"MF,FW",28-164,9.3,396,4,43,171,195,32,396,21,5,23.8,12,57.1,249,1849,956,36,24,6,34,14,273,66,Matches,Wolverhampton-Wanderers,Premier-League
554,Sam Johnstone,eng ENG,GK,32-048,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0,Matches,Wolverhampton-Wanderers,Premier-League
555,Pablo Sarabia,es ESP,"MF,FW",33-001,8.3,496,4,57,242,200,23,496,14,6,42.9,6,42.9,297,1363,655,12,15,0,18,13,345,54,Matches,Wolverhampton-Wanderers,Premier-League
556,Rodrigo Gomes,pt POR,"DF,FW",21-309,7.8,362,23,86,123,160,27,362,15,5,33.3,7,46.7,188,1275,761,22,18,7,17,7,213,72,Matches,Wolverhampton-Wanderers,Premier-League
557,Hwang Hee-chan,kr KOR,"MF,FW",29-106,7.2,262,9,41,99,124,24,262,14,2,14.3,12,85.7,151,928,426,15,5,7,14,10,174,41,Matches,Wolverhampton-Wanderers,Premier-League
558,Yerson Mosquera,co COL,DF,24-010,4.9,294,43,170,115,12,7,294,0,0,,0,,168,683,322,0,1,0,4,1,182,0,Matches,Wolverhampton-Wanderers,Premier-League
559,Tommy Doyle,eng ENG,MF,23-207,5.4,463,22,128,258,80,4,463,9,5,55.6,1,11.1,260,1417,578,6,3,0,9,4,303,4,Matches,Wolverhampton-Wanderers,Premier-League
560,Carlos Forbs,pt POR,"MF,FW",21-054,2.7,121,3,23,39,60,13,121,12,7,58.3,5,41.7,75,468,321,10,3,8,7,4,85,28,Matches,Wolverhampton-Wanderers,Premier-League
561,Daniel Bentley,eng ENG,GK,31-303,1.0,35,30,35,0,0,0,35,0,0,,0,,18,102,32,0,0,0,0,0,14,0,Matches,Wolverhampton-Wanderers,Premier-League
562,Pedro Lima,br BRA,DF,18-315,0.8,48,0,9,12,28,3,48,3,1,33.3,2,66.7,22,120,83,4,3,1,1,0,30,11,Matches,Wolverhampton-Wanderers,Premier-League
563,Daniel Podence,pt POR,"MF,FW",29-203,0.5,20,0,2,11,7,0,20,2,2,100.0,0,0.0,13,77,43,1,1,0,0,0,17,3,Matches,Wolverhampton-Wanderers,Premier-League
564,Nasser Djiga,bf BFA,"DF,FW",22-178,0.2,16,2,8,8,0,0,16,0,0,,0,,7,25,0,0,0,0,1,2,7,1,Matches,Wolverhampton-Wanderers,Premier-League
565,Chiquinho,pt POR,MF,25-096,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches,Wolverhampton-Wanderers,Premier-League
566,Mateus Mane,,MF,,0.0,6,0,0,6,0,0,6,0,0,,0,,2,22,7,0,0,0,0,0,4,0,Matches,Wolverhampton-Wanderers,Premier-League
567,Alfie Pond,eng ENG,DF,21-072,0.0,1,0,0,1,0,0,1,0,0,,0,,1,2,2,0,0,0,0,0,1,0,Matches,Wolverhampton-Wanderers,Premier-League
568,Boubacar Traoré,ml MLI,MF,23-265,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
569,Carlos Vicente,es ESP,"FW,MF",26-019,31.4,1398,27,196,519,702,75,1398,97,30,30.9,58,59.8,702,4345,2000,96,42,23,75,42,812,207,Matches,Alaves,La-Liga
570,Nahuel Tenaglia,ar ARG,DF,29-080,29.5,1653,94,521,722,424,43,1653,33,16,48.5,12,36.4,675,3495,1843,38,35,5,31,15,749,90,Matches,Alaves,La-Liga
571,Antonio Sivera,es ESP,GK,28-274,28.2,952,689,928,25,0,0,952,0,0,,0,,441,2814,1989,0,0,0,0,0,313,0,Matches,Alaves,La-Liga
572,Antonio Blanco,es ESP,MF,24-293,27.4,1402,59,324,891,203,6,1402,20,14,70.0,6,30.0,675,2848,1255,12,17,0,27,26,796,18,Matches,Alaves,La-Liga
573,Abdel Abqar,ma MAR,DF,26-063,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,Matches,Alaves,La-Liga
574,Manu Sánchez,es ESP,DF,24-261,26.3,1349,61,388,555,416,27,1349,36,7,19.4,24,66.7,504,2829,1415,43,25,5,37,17,575,90,Matches,Alaves,La-Liga
575,Kiké,es ESP,FW,35-168,25.6,804,21,63,359,393,104,802,32,13,40.6,17,53.1,485,1921,631,21,13,9,90,41,648,144,Matches,Alaves,La-Liga
576,Jon Guridi,es ESP,MF,30-073,21.0,857,20,118,442,306,56,856,22,7,31.8,13,59.1,418,2206,1016,23,27,3,34,15,526,76,Matches,Alaves,La-Liga
577,Moussa Diarra,ml MLI,DF,24-183,20.7,1012,56,383,495,139,9,1012,14,7,50.0,5,35.7,499,2075,1080,12,10,2,17,14,584,31,Matches,Alaves,La-Liga
578,Ander Guevara,es ESP,MF,27-309,19.6,1103,56,254,683,172,12,1103,14,8,57.1,5,35.7,456,2063,1010,13,14,0,18,18,598,18,Matches,Alaves,La-Liga
579,Santiago Mouriño,uy URU,DF,23-088,18.5,859,105,436,382,53,11,859,10,4,40.0,5,50.0,393,2417,1371,14,14,0,7,11,389,1,Matches,Alaves,La-Liga
580,Carlos Martín,es ESP,"FW,MF",23-020,14.7,600,20,114,260,232,40,600,35,8,22.9,26,74.3,297,1145,481,13,10,4,30,18,368,67,Matches,Alaves,La-Liga
581,Joan Jordán,es ESP,MF,30-310,15.1,1012,25,126,588,309,10,1009,7,6,85.7,1,14.3,471,1568,802,6,17,1,16,6,610,35,Matches,Alaves,La-Liga
582,Carles Aleñá,es ESP,"MF,FW",27-127,9.4,475,2,54,226,196,20,475,21,9,42.9,5,23.8,258,1124,541,15,18,2,17,13,336,39,Matches,Alaves,La-Liga
583,Toni Martínez,es ESP,"FW,MF",27-316,10.9,382,14,32,161,195,70,382,12,8,66.7,3,25.0,150,727,262,13,7,7,40,10,259,54,Matches,Alaves,La-Liga
584,Tomás Conechny,ar ARG,"FW,MF",27-043,8.8,424,9,57,184,185,32,424,10,4,40.0,6,60.0,232,928,383,12,17,2,30,9,289,59,Matches,Alaves,La-Liga
585,Stoichkov,es ESP,"MF,FW",31-188,7.8,304,6,39,135,135,28,304,18,6,33.3,9,50.0,179,938,377,9,5,3,20,7,194,41,Matches,Alaves,La-Liga
586,Aleksandar Sedlar,rs SRB,DF,33-150,5.7,259,23,116,141,3,2,259,1,0,0.0,1,100.0,120,700,434,2,2,0,0,0,136,1,Matches,Alaves,La-Liga
587,Jesús Owono,gq EQG,GK,24-072,5.4,173,144,173,0,0,0,173,1,1,100.0,0,0.0,88,405,281,0,0,0,0,0,76,0,Matches,Alaves,La-Liga
588,Pica,es ESP,DF,23-131,5.4,256,32,132,116,8,5,256,1,1,100.0,0,0.0,121,703,479,3,2,0,2,1,131,0,Matches,Alaves,La-Liga
