,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Squad,League
483,Dejan Kulusevski,se SWE,"MF,FW",25-030,26.5,128,4.82,95,12,15,3,3,0,9,0.34,7,1,1,0,0,0,Matches,Tottenham-Hotspur,Premier-League
484,Dominic Solanke,eng ENG,FW,27-253,23.7,37,1.56,25,0,0,9,2,1,8,0.34,6,0,0,1,1,0,Matches,Tottenham-Hotspur,Premier-League
485,Son Heung-min,kr KOR,FW,32-321,23.4,117,4.99,87,8,10,7,5,0,15,0.64,13,0,0,1,1,0,Matches,Tottenham-Hotspur,Premier-League
486,Brennan Johnson,wls WAL,FW,24-002,23.2,46,1.98,30,0,6,4,5,1,7,0.3,5,0,1,0,1,0,Matches,Tottenham-Hotspur,Premier-League
487,Guglielmo Vicario,it ITA,GK,28-230,23.0,4,0.17,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
488,Destiny Udogie,it ITA,DF,22-178,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1,Matches,Tottenham-Hotspur,Premier-League
489,Pape Matar Sarr,sn SEN,MF,22-253,20.8,44,2.12,34,2,2,4,0,2,6,0.29,4,0,1,1,0,0,Matches,Tottenham-Hotspur,Premier-League
490,James Maddison,eng ENG,MF,28-183,20.1,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0,Matches,Tottenham-Hotspur,Premier-League
491,Rodrigo Bentancur,uy URU,MF,27-334,17.6,45,2.56,36,0,1,5,1,2,3,0.17,3,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
492,Djed Spence,eng ENG,DF,24-289,19.8,29,1.46,23,1,4,1,0,0,5,0.25,3,1,1,0,0,0,Matches,Tottenham-Hotspur,Premier-League
493,Archie Gray,eng ENG,"DF,MF",19-074,18.5,5,0.27,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
494,Cristian Romero,ar ARG,DF,27-028,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches,Tottenham-Hotspur,Premier-League
495,Yves Bissouma,ml MLI,MF,28-268,15.4,16,1.04,15,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
496,Ben Davies,wls WAL,DF,32-031,14.5,8,0.55,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
497,Radu Drăgușin,ro ROU,DF,23-111,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
498,Lucas Bergvall,se SWE,MF,19-112,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0,Matches,Tottenham-Hotspur,Premier-League
499,Micky van de Ven,nl NED,DF,24-036,10.6,11,1.04,8,0,0,2,1,0,2,0.19,2,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
500,Mathys Tel,fr FRA,FW,20-028,9.2,25,2.72,17,1,2,2,3,0,1,0.11,1,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
501,Wilson Odobert,fr FRA,"FW,MF",20-178,8.9,16,1.79,14,0,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
502,Kevin Danso,at AUT,DF,26-248,8.4,9,1.08,8,0,0,1,0,0,2,0.24,2,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
503,Fraser Forster,eng ENG,GK,37-069,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
504,Antonín Kinský,cz CZE,GK,22-073,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
505,Timo Werner,de GER,"FW,MF",29-080,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
506,Richarlison,br BRA,FW,28-015,5.3,8,1.5,5,0,0,2,1,0,1,0.19,1,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
507,Mikey Moore,eng ENG,FW,17-287,4.1,12,2.95,7,2,0,1,2,0,2,0.49,1,0,0,1,0,0,Matches,Tottenham-Hotspur,Premier-League
508,Sergio Reguilón,es ESP,DF,28-160,2.2,1,0.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
509,Brandon Austin,eng ENG,GK,26-137,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
510,Dane Scarlett,eng ENG,"FW,MF",21-062,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
511,Alfie Dorrington,eng ENG,DF,20-035,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
512,Will Lankshear,eng ENG,"FW,MF",20-035,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Tottenham-Hotspur,Premier-League
513,Max Kilman,eng ENG,DF,28-002,36.2,32,0.88,28,0,2,0,0,2,5,0.14,3,0,1,0,0,1,Matches,West-Ham-United,Premier-League
514,Aaron Wan-Bissaka,eng ENG,DF,27-180,34.0,90,2.64,72,4,7,3,2,2,9,0.26,8,0,0,1,0,0,Matches,West-Ham-United,Premier-League
515,Jarrod Bowen,eng ENG,"FW,MF",28-156,32.0,106,3.31,65,13,5,12,9,2,13,0.41,9,2,1,1,0,0,Matches,West-Ham-United,Premier-League
516,Mohammed Kudus,gh GHA,"FW,MF",24-296,28.6,106,3.71,73,1,16,12,2,2,9,0.32,5,0,1,3,0,0,Matches,West-Ham-United,Premier-League
517,Tomáš Souček,cz CZE,MF,30-087,27.5,44,1.6,35,0,0,6,2,1,3,0.11,2,0,0,0,1,0,Matches,West-Ham-United,Premier-League
518,Lucas Paquetá,br BRA,"MF,FW",27-271,26.3,82,3.12,68,2,2,4,5,1,6,0.23,3,0,0,2,1,0,Matches,West-Ham-United,Premier-League
519,Emerson Palmieri,it ITA,DF,30-295,23.5,41,1.75,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0,Matches,West-Ham-United,Premier-League
520,Alphonse Areola,fr FRA,GK,32-087,25.1,3,0.12,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
521,Konstantinos Mavropanos,gr GRE,DF,27-165,21.7,16,0.74,12,0,1,2,0,1,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
522,Jean-Clair Todibo,fr FRA,DF,25-146,19.3,5,0.26,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
523,Edson Álvarez,mx MEX,MF,27-213,18.8,28,1.49,24,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches,West-Ham-United,Premier-League
524,Guido Rodríguez,ar ARG,MF,31-043,12.6,11,0.87,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
525,Carlos Soler,es ESP,"MF,FW",28-143,15.6,51,3.26,31,9,2,5,3,1,2,0.13,2,0,0,0,0,0,Matches,West-Ham-United,Premier-League
526,Łukasz Fabiański,pl POL,GK,40-037,11.9,3,0.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
527,Vladimír Coufal,cz CZE,DF,32-276,11.6,18,1.55,14,4,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches,West-Ham-United,Premier-League
528,James Ward-Prowse,eng ENG,MF,30-205,10.7,31,2.91,16,11,0,3,0,1,1,0.09,0,1,0,0,0,0,Matches,West-Ham-United,Premier-League
529,Michail Antonio,jm JAM,FW,35-058,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches,West-Ham-United,Premier-League
530,Aaron Cresswell,eng ENG,DF,35-161,9.1,15,1.64,7,8,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
531,Crysencio Summerville,nl NED,"FW,MF",23-207,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches,West-Ham-United,Premier-League
532,Oliver Scarles,eng ENG,DF,19-164,6.6,5,0.76,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
533,Niclas Füllkrug,de GER,FW,32-105,8.0,20,2.5,18,0,0,2,0,0,2,0.25,1,0,0,1,0,0,Matches,West-Ham-United,Premier-League
534,Danny Ings,eng ENG,"FW,MF",32-306,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,Matches,West-Ham-United,Premier-League
535,Andy Irving,sct SCO,MF,25-012,1.8,5,2.68,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
536,Evan Ferguson,ie IRL,FW,20-218,1.7,4,2.31,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
537,Luis Guilherme,br BRA,"MF,FW",19-105,1.7,10,6.0,6,1,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
538,Lewis Orford,eng ENG,MF,19-096,0.5,2,3.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
539,Kaelan Casey,eng ENG,DF,20-209,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,West-Ham-United,Premier-League
540,Rayan Aït-Nouri,dz ALG,DF,23-353,33.8,88,2.6,53,15,8,7,4,1,12,0.35,10,1,0,0,0,1,Matches,Wolverhampton-Wanderers,Premier-League
541,João Gomes,br BRA,MF,24-102,32.0,64,2.0,51,1,5,2,2,3,4,0.12,4,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
542,Nélson Semedo,pt POR,DF,31-190,31.1,55,1.77,40,1,7,1,3,3,6,0.19,6,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
543,Jørgen Strand Larsen,no NOR,FW,25-108,28.5,40,1.41,31,1,1,3,2,2,5,0.18,5,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
544,André,br BRA,MF,23-313,26.5,46,1.74,38,3,1,0,0,4,3,0.11,2,1,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
545,Toti Gomes,pt POR,DF,26-129,28.0,21,0.75,20,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
546,José Sá,pt POR,GK,32-128,28.0,4,0.14,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
547,Matheus Cunha,br BRA,"MF,FW",25-363,27.9,127,4.56,72,13,18,9,12,3,16,0.57,10,0,4,0,1,1,Matches,Wolverhampton-Wanderers,Premier-League
548,Matt Doherty,ie IRL,DF,33-129,22.5,24,1.07,18,3,1,1,1,0,3,0.13,3,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
549,Jean-Ricner Bellegarde,fr FRA,"MF,FW",26-332,18.6,57,3.07,35,5,4,4,7,2,11,0.59,8,1,0,0,1,1,Matches,Wolverhampton-Wanderers,Premier-League
550,Santiago Bueno,uy URU,DF,26-197,18.7,12,0.64,10,1,0,0,0,1,4,0.21,3,0,0,0,0,1,Matches,Wolverhampton-Wanderers,Premier-League
551,Mario Lemina,ga GAB,"MF,DF",31-266,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
552,Emmanuel Agbadou,ci CIV,DF,27-342,14.7,15,1.02,14,1,0,0,0,0,2,0.14,2,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
553,Marshall Munetsi,zw ZIM,"MF,FW",28-337,11.0,17,1.54,12,0,0,2,2,1,1,0.09,1,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
554,Craig Dawson,eng ENG,DF,35-019,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches,Wolverhampton-Wanderers,Premier-League
555,Gonçalo Guedes,pt POR,"MF,FW",28-177,10.3,25,2.42,22,0,2,0,1,0,8,0.77,7,0,1,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
556,Pablo Sarabia,es ESP,"MF,FW",33-014,9.0,28,3.1,20,6,2,0,0,0,5,0.55,4,0,1,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
557,Rodrigo Gomes,pt POR,"DF,FW",21-322,8.7,22,2.53,18,1,2,1,0,0,1,0.11,0,1,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
558,Sam Johnstone,eng ENG,GK,32-061,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
559,Hwang Hee-chan,kr KOR,"MF,FW",29-119,7.3,9,1.22,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
560,Yerson Mosquera,co COL,DF,24-023,4.9,5,1.02,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
561,Tommy Doyle,eng ENG,MF,23-220,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
562,Daniel Bentley,eng ENG,GK,31-316,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
563,Carlos Forbs,pt POR,"MF,FW",21-067,2.7,5,1.89,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
564,Pedro Lima,br BRA,DF,18-328,0.8,4,5.14,2,0,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
565,Nasser Djiga,bf BFA,DF,22-191,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
566,Daniel Podence,pt POR,"MF,FW",29-216,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
567,Chiquinho,pt POR,MF,25-109,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
568,Mateus Mane,,MF,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
569,Alfie Pond,eng ENG,DF,21-085,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
570,Boubacar Traoré,ml MLI,MF,23-278,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Wolverhampton-Wanderers,Premier-League
571,Carlos Vicente,es ESP,"FW,MF",25.0,34.4,107,3.11,53,38,3,6,5,2,9,0.26,6,1,1,1,0,0,Matches,Alaves,La-Liga
572,Nahuel Tenaglia,ar ARG,DF,28.0,32.5,51,1.57,28,10,2,2,8,1,4,0.12,1,0,0,0,3,0,Matches,Alaves,La-Liga
573,Antonio Sivera,es ESP,GK,27.0,31.2,11,0.35,6,5,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
574,Antonio Blanco,es ESP,MF,24.0,30.3,45,1.49,38,3,0,1,1,2,1,0.03,1,0,0,0,0,0,Matches,Alaves,La-Liga
575,Manu Sánchez,es ESP,DF,23.0,29.3,40,1.37,28,5,0,5,2,0,3,0.1,2,0,0,1,0,0,Matches,Alaves,La-Liga
576,Kiké,es ESP,FW,34.0,28.2,38,1.35,30,0,0,2,6,0,4,0.14,3,0,0,0,1,0,Matches,Alaves,La-Liga
577,Abdel Abqar,ma MAR,DF,25.0,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,Matches,Alaves,La-Liga
578,Jon Guridi,es ESP,"MF,FW",29.0,23.1,48,2.08,35,3,3,4,1,2,8,0.35,5,0,2,1,0,0,Matches,Alaves,La-Liga
579,Ander Guevara,es ESP,MF,27.0,21.6,41,1.89,39,1,1,0,0,0,5,0.23,5,0,0,0,0,0,Matches,Alaves,La-Liga
580,Moussa Diarra,ml MLI,DF,23.0,20.7,18,0.87,14,0,0,0,4,0,4,0.19,2,0,0,0,2,0,Matches,Alaves,La-Liga
581,Santiago Mouriño,uy URU,DF,22.0,20.5,11,0.54,8,1,0,0,2,0,2,0.1,1,0,0,0,1,0,Matches,Alaves,La-Liga
582,Carlos Martín,es ESP,"FW,MF",22.0,14.8,29,1.96,20,0,3,4,2,0,3,0.2,1,0,0,2,0,0,Matches,Alaves,La-Liga
583,Joan Jordán,es ESP,MF,30.0,15.7,55,3.5,32,20,0,1,2,0,3,0.19,2,1,0,0,0,0,Matches,Alaves,La-Liga
584,Carles Aleñá,es ESP,"MF,FW",26.0,12.1,44,3.64,27,7,3,3,4,0,4,0.33,2,1,0,0,1,0,Matches,Alaves,La-Liga
585,Toni Martínez,es ESP,FW,27.0,11.2,27,2.4,16,0,5,2,2,2,1,0.09,0,0,0,1,0,0,Matches,Alaves,La-Liga
586,Tomás Conechny,ar ARG,"FW,MF",26.0,9.4,14,1.48,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
587,Facundo Garcés,ar ARG,DF,24.0,7.5,3,0.4,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
588,Aleksandar Sedlar,rs SRB,DF,32.0,6.6,2,0.3,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
589,Stoichkov,es ESP,"MF,FW",30.0,7.8,28,3.6,17,0,2,3,4,2,2,0.26,1,0,0,1,0,0,Matches,Alaves,La-Liga
590,Carlos Benavídez,uy URU,MF,26.0,5.4,11,2.04,9,0,1,0,0,1,3,0.56,3,0,0,0,0,0,Matches,Alaves,La-Liga
591,Pica,es ESP,DF,22.0,5.5,3,0.54,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
592,Jesús Owono,gq EQG,GK,23.0,5.4,1,0.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
593,Abderrahman Rebbach,dz ALG,"FW,MF",25.0,4.3,10,2.34,7,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
594,Asier Villalibre,es ESP,FW,26.0,3.7,7,1.89,4,0,0,1,2,0,1,0.27,1,0,0,0,0,0,Matches,Alaves,La-Liga
595,Hugo Novoa,es ESP,"DF,MF",21.0,2.6,6,2.28,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
596,Luka Romero,ar ARG,"FW,MF",19.0,2.2,8,3.62,4,1,1,0,1,1,1,0.45,1,0,0,0,0,0,Matches,Alaves,La-Liga
597,Pau Cabanes,es ESP,"MF,FW",19.0,2.1,6,2.87,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
598,Adrian Rodriguez,es ESP,GK,23.0,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
599,Luis Rioja,es ESP,FW,30.0,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Alaves,La-Liga
600,Iñaki Williams,gh GHA,FW,30-344,29.3,80,2.73,61,1,6,7,3,2,14,0.48,10,0,3,1,0,0,Matches,Athletic-Club,La-Liga
601,Daniel Vivian,es ESP,DF,25-314,28.7,34,1.19,32,0,1,0,0,1,1,0.03,1,0,0,0,0,0,Matches,Athletic-Club,La-Liga
602,Álex Berenguer,es ESP,"FW,MF",29-325,25.0,94,3.76,61,18,9,2,2,2,14,0.56,6,4,2,1,1,0,Matches,Athletic-Club,La-Liga
603,Mikel Jauregizar,es ESP,MF,21-194,23.9,70,2.92,52,6,1,4,3,4,9,0.38,7,0,0,0,2,0,Matches,Athletic-Club,La-Liga
604,Yuri Berchiche,es ESP,DF,35-104,21.7,39,1.8,32,3,0,1,1,2,2,0.09,2,0,0,0,0,0,Matches,Athletic-Club,La-Liga
605,Nico Williams,es ESP,FW,22-317,21.3,109,5.12,64,13,21,3,5,3,13,0.61,9,2,1,0,1,0,Matches,Athletic-Club,La-Liga
606,Gorka Guruzeta,es ESP,FW,28-255,20.4,29,1.42,23,1,0,4,0,1,1,0.05,1,0,0,0,0,0,Matches,Athletic-Club,La-Liga
607,Beñat Prados,es ESP,MF,24-106,18.7,21,1.12,20,0,0,1,0,0,3,0.16,3,0,0,0,0,0,Matches,Athletic-Club,La-Liga
608,Unai Simón,es ESP,GK,27-348,20.0,5,0.25,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
609,Yeray Álvarez,es ESP,DF,30-121,19.8,18,0.91,15,0,0,0,0,3,2,0.1,2,0,0,0,0,0,Matches,Athletic-Club,La-Liga
610,Aitor Paredes,es ESP,DF,25-026,19.1,8,0.42,8,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Athletic-Club,La-Liga
611,Oihan Sancet,es ESP,MF,25-030,17.7,50,2.82,38,0,4,5,3,0,8,0.45,4,0,1,3,0,0,Matches,Athletic-Club,La-Liga
612,Andoni Gorosabel,es ESP,DF,28-294,16.5,32,1.94,29,2,1,0,0,0,2,0.12,2,0,0,0,0,0,Matches,Athletic-Club,La-Liga
613,Iñigo Ruiz de Galarreta,es ESP,MF,31-292,15.7,49,3.11,42,4,2,1,0,0,6,0.38,4,2,0,0,0,0,Matches,Athletic-Club,La-Liga
614,Óscar de Marcos,es ESP,DF,36-041,16.4,45,2.74,41,3,0,0,1,0,8,0.49,8,0,0,0,0,0,Matches,Athletic-Club,La-Liga
615,Julen Agirrezabala,es ESP,GK,24-150,13.4,3,0.22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
616,Unai Gómez,es ESP,"MF,FW",22-000,13.6,23,1.69,15,4,1,2,1,0,3,0.22,2,0,0,1,0,0,Matches,Athletic-Club,La-Liga
617,Adama Boiro,es ESP,"DF,FW",22-337,12.2,16,1.31,12,1,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
618,Mikel Vesga,es ESP,MF,32-004,11.0,21,1.91,19,0,0,2,0,0,1,0.09,0,0,0,1,0,0,Matches,Athletic-Club,La-Liga
619,Iñigo Lekue,es ESP,DF,32-021,8.6,16,1.87,11,3,0,1,0,1,1,0.12,0,0,0,1,0,0,Matches,Athletic-Club,La-Liga
620,Álvaro djaló,es ESP,FW,25-282,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0,Matches,Athletic-Club,La-Liga
621,Maroan Sannadi,es ESP,FW,24-113,7.4,15,2.03,8,0,3,2,2,0,2,0.27,1,0,0,0,1,0,Matches,Athletic-Club,La-Liga
622,Unai Núñez,es ESP,DF,28-115,6.5,2,0.31,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
623,Alex Padilla,es ESP,GK,21-266,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
624,Ander Herrera,es ESP,MF,35-284,3.0,11,3.64,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
625,Peio Canales,es ESP,"MF,FW",20-128,2.9,10,3.47,5,4,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
626,Nicolás Serrano,es ESP,FW,22-081,1.2,2,1.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
627,Aingeru Olabarrieta,es ESP,FW,19-192,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
628,Javi Martón,es ESP,"FW,MF",26-019,0.6,1,1.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
629,Adu Ares,es ESP,FW,23-225,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
630,Endika Buján,es ESP,FW,22-129,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic-Club,La-Liga
631,Jan Oblak,si SVN,GK,32-138,36.0,6,0.17,4,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
632,Julián Álvarez,ar ARG,FW,25-114,26.9,101,3.76,72,8,9,8,1,3,12,0.45,8,1,0,2,0,1,Matches,Atletico-Madrid,La-Liga
633,Antoine Griezmann,fr FRA,"FW,MF",34-065,26.8,91,3.4,67,15,0,6,2,1,13,0.49,12,0,0,1,0,0,Matches,Atletico-Madrid,La-Liga
634,Pablo Barrios,es ESP,MF,21-344,25.7,66,2.56,58,1,1,3,1,2,11,0.43,11,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
635,Marcos Llorente,es ESP,"DF,MF",30-115,26.9,53,1.97,48,2,1,1,1,0,12,0.45,11,0,0,0,1,0,Matches,Atletico-Madrid,La-Liga
636,Giuliano Simeone,ar ARG,MF,22-158,21.1,48,2.28,39,0,4,2,3,0,9,0.43,7,0,1,0,1,0,Matches,Atletico-Madrid,La-Liga
637,Robin Le Normand,es ESP,DF,28-195,23.9,7,0.29,4,0,0,3,0,0,1,0.04,0,0,0,1,0,0,Matches,Atletico-Madrid,La-Liga
638,Rodrigo De Paul,ar ARG,MF,31-001,22.5,83,3.68,74,4,0,2,2,1,12,0.53,11,0,0,0,1,0,Matches,Atletico-Madrid,La-Liga
639,Clément Lenglet,fr FRA,DF,29-342,20.9,16,0.77,15,0,1,0,0,0,2,0.1,2,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
640,Javi Galán,es ESP,DF,30-187,19.8,33,1.66,30,1,1,0,1,0,6,0.3,6,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
641,José María Giménez,uy URU,DF,30-125,22.2,7,0.32,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
642,Samuel Lino,br BRA,"MF,DF",25-153,16.5,49,2.97,39,0,3,4,3,0,6,0.36,4,0,0,1,1,0,Matches,Atletico-Madrid,La-Liga
643,Koke,es ESP,MF,33-137,20.6,47,2.28,44,2,0,0,0,1,5,0.24,5,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
644,Conor Gallagher,eng ENG,MF,25-108,17.9,30,1.67,23,0,4,0,3,0,6,0.33,4,0,1,0,1,0,Matches,Atletico-Madrid,La-Liga
645,Nahuel Molina,ar ARG,DF,27-049,17.0,44,2.59,32,6,3,1,0,2,5,0.29,5,0,0,0,0,0,Matches,Atletico-Madrid,La-Liga
646,Alexander Sørloth,no NOR,FW,29-171,17.1,29,1.7,18,0,4,5,2,0,5,0.29,2,0,2,1,0,0,Matches,Atletico-Madrid,La-Liga
647,Reinildo Mandava,mz MOZ,DF,31-124,10.5,7,0.67,6,0,0,0,0,1,1,0.1,0,0,0,0,0,1,Matches,Atletico-Madrid,La-Liga
