,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Squad,League
38,Tyrone Mings,eng ENG,DF,32-073,12.4,18,1.45,15,0,0,1,1,1,2,0.16,1,0,0,1,0,0,Matches,Aston-Villa,Premier-League
39,Ian Maatsen,nl NED,DF,23-076,11.7,52,4.46,38,3,5,5,0,1,7,0.6,6,0,1,0,0,0,Matches,Aston-Villa,Premier-League
40,Diego Carlos,br BRA,DF,32-071,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
41,Marco Asensio,es ESP,MF,29-124,7.8,34,4.38,21,7,1,1,3,1,3,0.39,2,0,0,1,0,0,Matches,Aston-Villa,Premier-League
42,Axel Disasi,fr FRA,DF,27-075,5.4,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
43,Lamare Bogarde,nl NED,"DF,MF",21-140,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches,Aston-Villa,Premier-League
44,Andrés García,es ESP,"DF,MF",22-107,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
45,Jáder Durán,co COL,FW,21-163,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches,Aston-Villa,Premier-League
46,Marcus Rashford,eng ENG,FW,27-206,4.9,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0,Matches,Aston-Villa,Premier-League
47,Ross Barkley,eng ENG,MF,31-171,6.4,18,2.82,15,1,2,0,0,0,3,0.47,3,0,0,0,0,0,Matches,Aston-Villa,Premier-League
48,Jaden Philogene Bidace,eng ENG,"FW,MF",23-106,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
49,Donyell Malen,nl NED,FW,26-136,3.3,5,1.51,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
50,Robin Olsen,se SWE,GK,35-137,2.0,2,1.0,0,2,0,0,0,0,1,0.5,0,1,0,0,0,0,Matches,Aston-Villa,Premier-League
51,Kosta Nedeljković,rs SRB,DF,19-160,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
52,Emi Buendía,ar ARG,"MF,FW",28-151,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Aston-Villa,Premier-League
53,Milos Kerkez,hu HUN,DF,21-199,36.1,78,2.16,63,4,1,2,5,3,9,0.25,7,0,1,0,0,1,Matches,Bournemouth,Premier-League
54,Antoine Semenyo,gh GHA,FW,25-138,34.6,128,3.7,82,4,20,15,5,2,13,0.38,7,1,2,1,2,0,Matches,Bournemouth,Premier-League
55,Illia Zabarnyi,ua UKR,DF,22-266,33.5,28,0.83,25,1,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
56,Lewis Cook,eng ENG,"MF,DF",28-111,33.1,89,2.69,69,18,0,2,0,0,5,0.15,2,1,0,2,0,0,Matches,Bournemouth,Premier-League
57,Kepa Arrizabalaga,es ESP,GK,30-234,30.0,4,0.13,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
58,Justin Kluivert,nl NED,"MF,FW",26-020,25.0,99,3.96,71,8,7,7,5,1,11,0.44,10,0,0,0,1,0,Matches,Bournemouth,Premier-League
59,Evanilson,br BRA,FW,25-231,24.8,58,2.34,37,0,3,9,9,0,8,0.32,2,0,1,1,4,0,Matches,Bournemouth,Premier-League
60,Ryan Christie,sct SCO,MF,30-092,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0,Matches,Bournemouth,Premier-League
61,Dean Huijsen,es ESP,DF,20-041,26.8,43,1.6,40,1,0,1,1,0,3,0.11,3,0,0,0,0,0,Matches,Bournemouth,Premier-League
62,Dango Ouattara,bf BFA,FW,23-103,22.3,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0,Matches,Bournemouth,Premier-League
63,Tyler Adams,us USA,MF,26-100,20.8,39,1.87,34,0,0,1,0,4,4,0.19,3,0,0,0,0,1,Matches,Bournemouth,Premier-League
64,Marcus Tavernier,eng ENG,"FW,MF",26-064,20.6,90,4.38,63,12,3,8,4,0,11,0.54,5,3,0,2,1,0,Matches,Bournemouth,Premier-League
65,Adam Smith,eng ENG,DF,34-026,16.7,20,1.2,15,1,1,0,2,1,2,0.12,1,0,0,0,1,0,Matches,Bournemouth,Premier-League
66,Marcos Senesi,ar ARG,DF,28-015,11.4,16,1.4,16,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,Bournemouth,Premier-League
67,David Brooks,wls WAL,"FW,MF",27-321,10.0,39,3.91,33,3,2,1,0,0,2,0.2,1,0,0,1,0,0,Matches,Bournemouth,Premier-League
68,Alex Scott,eng ENG,MF,21-277,8.4,29,3.46,19,2,0,2,3,3,2,0.24,2,0,0,0,0,0,Matches,Bournemouth,Premier-League
69,Julian Araujo,mx MEX,DF,23-285,5.5,5,0.91,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
70,James Hill,eng ENG,DF,23-135,5.0,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0,Matches,Bournemouth,Premier-League
71,Mark Travers,ie IRL,GK,26-007,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
72,Enes Ünal,tr TUR,"FW,MF",28-015,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0,Matches,Bournemouth,Premier-League
73,Neto,br BRA,GK,35-310,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
74,Luis Sinisterra,co COL,"FW,MF",25-342,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0,Matches,Bournemouth,Premier-League
75,Philip Billing,dk DEN,MF,28-348,2.0,16,7.83,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
76,Max Aarons,eng ENG,DF,25-141,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
77,Daniel Jebbison,eng ENG,FW,21-285,1.0,5,4.95,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
78,Ben Winterburn,eng ENG,"FW,MF",20-263,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
79,Julio Soler,ar ARG,"DF,FW",20-098,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
80,Remy Rees-Dottin,eng ENG,FW,19-080,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
81,Zain Silcott-Duberry,ms MSR,FW,19-320,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Bournemouth,Premier-League
82,Nathan Collins,ie IRL,DF,24-025,37.0,30,0.81,22,2,1,3,2,0,8,0.22,4,1,0,1,2,0,Matches,Brentford,Premier-League
83,Bryan Mbeumo,cm CMR,FW,25-291,36.9,141,3.82,96,23,10,8,4,0,20,0.54,11,3,2,3,1,0,Matches,Brentford,Premier-League
84,Mark Flekken,nl NED,GK,31-346,35.4,10,0.28,6,4,0,0,0,0,2,0.06,0,2,0,0,0,0,Matches,Brentford,Premier-League
85,Keane Lewis-Potter,eng ENG,"DF,FW",24-092,33.4,70,2.1,55,0,5,3,6,1,8,0.24,6,0,0,0,2,0,Matches,Brentford,Premier-League
86,Mikkel Damsgaard,dk DEN,"MF,FW",24-326,31.5,117,3.72,89,14,6,2,1,5,21,0.67,15,3,1,0,1,1,Matches,Brentford,Premier-League
87,Yoane Wissa,cd COD,FW,28-264,31.4,66,2.1,38,1,4,12,10,1,9,0.29,8,0,0,0,1,0,Matches,Brentford,Premier-League
88,Christian Nørgaard,dk DEN,MF,31-076,30.3,54,1.78,44,0,0,7,2,1,12,0.4,10,0,0,1,1,0,Matches,Brentford,Premier-League
89,Sepp van den Berg,nl NED,DF,23-156,27.7,22,0.79,19,0,0,2,1,0,2,0.07,1,0,0,0,1,0,Matches,Brentford,Premier-League
90,Vitaly Janelt,de GER,MF,27-015,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0,Matches,Brentford,Premier-League
91,Kevin Schade,de GER,FW,23-179,24.6,55,2.24,33,6,6,4,5,1,9,0.37,5,0,1,3,0,0,Matches,Brentford,Premier-League
92,Ethan Pinnock,jm JAM,DF,31-361,21.3,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
93,Kristoffer Ajer,no NOR,DF,27-038,15.9,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Matches,Brentford,Premier-League
94,Yehor Yarmoliuk,ua UKR,MF,21-085,15.1,25,1.66,20,0,2,1,1,1,2,0.13,2,0,0,0,0,0,Matches,Brentford,Premier-League
95,Mads Roerslev,dk DEN,DF,25-335,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0,Matches,Brentford,Premier-League
96,Mathias Jensen,dk DEN,MF,29-144,9.5,40,4.23,29,10,1,0,0,0,5,0.53,2,2,1,0,0,0,Matches,Brentford,Premier-League
97,Michael Kayode,it ITA,DF,20-319,4.9,17,3.45,9,5,1,1,1,0,3,0.61,3,0,0,0,0,0,Matches,Brentford,Premier-League
98,Fabio Carvalho,pt POR,"FW,MF",22-268,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0,Matches,Brentford,Premier-League
99,Ben Mee,eng ENG,DF,35-246,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
100,Thiago,br BRA,"FW,MF",23-333,1.8,3,1.66,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
101,Hákon Rafn Valdimarsson,is ISL,GK,23-224,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
102,Edmond-Paris Maghoma,eng ENG,"MF,FW",24-017,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0,Matches,Brentford,Premier-League
103,Rico Henry,eng ENG,DF,27-321,1.1,2,1.84,2,0,0,0,0,0,1,0.92,1,0,0,0,0,0,Matches,Brentford,Premier-League
104,Yunus Emre Konak,tr TUR,"FW,MF",19-135,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
105,Kim Jisoo,kr KOR,DF,20-152,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
106,Frank Onyeka,ng NGA,MF,27-144,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
107,Gustavo Nunes,br BRA,"FW,MF",19-186,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
108,Jayden Meghoma,eng ENG,DF,18-331,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
109,Ryan Trevitt,eng ENG,MF,22-074,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brentford,Premier-League
110,Bart Verbruggen,nl NED,GK,22-280,35.0,5,0.14,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
111,Jan Paul van Hecke,nl NED,DF,24-351,31.9,51,1.6,45,2,0,3,1,0,3,0.09,3,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
112,Carlos Baleba,cm CMR,MF,21-142,28.6,64,2.24,54,0,2,4,1,3,4,0.14,2,0,0,0,1,1,Matches,Brighton-and-Hove-Albion,Premier-League
113,Kaoru Mitoma,jp JPN,"FW,MF",28-005,28.4,85,2.99,71,0,6,3,4,1,9,0.32,8,0,0,0,1,0,Matches,Brighton-and-Hove-Albion,Premier-League
114,Pervis Estupiñán,ec ECU,DF,27-124,26.7,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0,Matches,Brighton-and-Hove-Albion,Premier-League
115,Danny Welbeck,eng ENG,FW,34-180,23.5,53,2.26,39,1,3,4,6,0,8,0.34,7,0,0,1,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
116,Lewis Dunk,eng ENG,DF,33-185,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
117,João Pedro,br BRA,"FW,MF",23-241,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0,Matches,Brighton-and-Hove-Albion,Premier-League
118,Yasin Ayari,se SWE,MF,21-231,21.3,60,2.81,36,12,3,3,4,2,6,0.28,4,2,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
119,Jack Hinshelwood,eng ENG,"DF,MF",20-044,19.5,34,1.75,28,4,0,1,1,0,3,0.15,3,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
120,Yankuba Minteh,gm GAM,"FW,MF",20-307,19.4,57,2.94,34,8,11,2,1,1,11,0.57,5,0,5,1,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
121,Joël Veltman,nl NED,DF,33-130,18.5,22,1.19,15,2,2,1,2,0,1,0.05,0,1,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
122,Georginio Rutter,fr FRA,"MF,FW",23-035,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0,Matches,Brighton-and-Hove-Albion,Premier-League
123,Simon Adingra,ci CIV,"FW,MF",23-144,11.7,45,3.85,31,0,6,8,0,0,7,0.6,5,0,1,1,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
124,Matt O'Riley,dk DEN,MF,24-185,10.3,39,3.81,23,10,1,2,1,2,5,0.49,4,0,0,0,1,0,Matches,Brighton-and-Hove-Albion,Premier-League
125,Tariq Lamptey,gh GHA,DF,24-237,9.6,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1,Matches,Brighton-and-Hove-Albion,Premier-League
126,Adam Webster,eng ENG,DF,30-141,8.9,12,1.36,10,2,0,0,0,0,3,0.34,2,1,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
127,Mats Wieffer,nl NED,"MF,DF",25-190,10.3,29,2.82,25,0,0,2,2,0,6,0.58,5,0,0,0,1,0,Matches,Brighton-and-Hove-Albion,Premier-League
128,Igor,br BRA,DF,27-107,10.0,11,1.1,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
129,Brajan Gruda,de GER,"MF,FW",20-359,6.8,35,5.14,27,4,3,0,1,0,5,0.73,4,1,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
130,Ferdi Kadioglu,tr TUR,"DF,MF",25-230,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
131,Diego Gómez,py PAR,MF,22-059,5.2,14,2.68,12,1,0,1,0,0,3,0.57,2,1,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
132,James Milner,eng ENG,MF,39-141,1.9,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
