,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
0,Benjamin Lecomte,fr FRA,GK,34-009,27,27,2430,27.0,61,2.26,154,95,63.6,3,4,20,1,3.7,6,5,1,0,16.7,Matches,Montpellier,Ligue-1
1,Dimitry Bertaud,cd COD,GK,26-333,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches,Montpellier,Ligue-1
0,Anthony Lopes,pt POR,GK,34-216,15,15,1293,14.4,24,1.67,66,43,69.7,4,5,6,2,13.3,5,4,0,1,0.0,Matches,Nantes,Ligue-1
1,Alban Lafont,fr FRA,GK,26-102,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,Matches,Nantes,Ligue-1
2,Patrik Carlgren,se SWE,GK,33-117,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,,Matches,Nantes,Ligue-1
0,Marcin Bułka,pl POL,GK,25-213,32,32,2880,32.0,39,1.22,156,117,76.3,16,9,7,7,21.9,3,2,1,0,33.3,Matches,Nice,Ligue-1
0,Gianluigi Donnarumma,it ITA,GK,26-069,23,23,2001,22.2,24,1.08,72,48,68.1,17,5,1,4,17.4,1,1,0,0,0.0,Matches,Paris-Saint-Germain,Ligue-1
1,Matvei Safonov,ru RUS,GK,26-069,10,9,879,9.8,9,0.92,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0,Matches,Paris-Saint-Germain,Ligue-1
0,Yehvann Diouf,fr FRA,GK,25-170,32,32,2880,32.0,43,1.34,170,126,76.5,8,9,15,7,21.9,4,3,1,0,25.0,Matches,Reims,Ligue-1
0,Steve Mandanda,fr FRA,GK,40-038,17,17,1485,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3,Matches,Rennes,Ligue-1
1,Brice Samba,fr FRA,GK,31-010,15,15,1350,15.0,23,1.53,71,47,67.6,6,0,9,4,26.7,1,0,1,0,100.0,Matches,Rennes,Ligue-1
2,Gauthier Gallon,fr FRA,GK,32-012,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches,Rennes,Ligue-1
0,Gautier Larsonneur,fr FRA,GK,28-071,31,31,2790,31.0,74,2.39,195,121,68.7,6,6,19,3,9.7,15,13,2,0,13.3,Matches,Saint-Etienne,Ligue-1
0,Đorđe Petrović,rs SRB,GK,25-209,29,29,2610,29.0,33,1.14,140,108,80.0,15,8,6,10,34.5,6,5,1,0,16.7,Matches,Strasbourg,Ligue-1
1,Karl-Johan Johnsson,se SWE,GK,35-097,3,3,270,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0,Matches,Strasbourg,Ligue-1
0,Guillaume Restes,fr FRA,GK,20-055,27,27,2363,26.3,33,1.26,84,53,61.9,8,6,13,8,29.6,2,1,1,0,50.0,Matches,Toulouse,Ligue-1
1,Kjetil Haug,no NOR,GK,26-327,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,,Matches,Toulouse,Ligue-1
2,Álex Domínguez,es ESP,GK,26-279,1,0,19,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,Matches,Toulouse,Ligue-1
0,Finn Dahmen,de GER,GK,27-039,16,16,1440,16.0,10,0.62,64,56,85.9,7,6,3,9,56.3,1,1,0,0,0.0,Matches,Augsburg,Bundesliga
1,Nediljko Labrović,hr CRO,GK,25-207,15,15,1350,15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0,Matches,Augsburg,Bundesliga
0,Manuel Neuer,de GER,GK,39-038,20,20,1800,20.0,15,0.75,37,22,62.2,16,4,0,11,55.0,2,1,0,1,0.0,Matches,Bayern-Munich,Bundesliga
1,Jonas Urbig,de GER,GK,21-269,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,,Matches,Bayern-Munich,Bundesliga
2,Daniel Peretz,il ISR,GK,24-298,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,,Matches,Bayern-Munich,Bundesliga
3,Sven Ulreich,de GER,GK,36-274,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,Bayern-Munich,Bundesliga
0,Patrick Drewes,de GER,GK,32-090,21,21,1890,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0,Matches,Bochum,Bundesliga
1,Timo Horn,de GER,GK,31-358,11,11,990,11.0,18,1.64,45,27,60.0,2,3,6,2,18.2,1,0,0,1,,Matches,Bochum,Bundesliga
0,Gregor Kobel,ch SUI,GK,27-150,30,30,2700,30.0,45,1.5,117,72,65.0,14,6,10,6,20.0,4,4,0,0,0.0,Matches,Dortmund,Bundesliga
1,Alexander Meyer,de GER,GK,34-022,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,Matches,Dortmund,Bundesliga
0,Kevin Trapp,de GER,GK,34-301,23,23,2025,22.5,30,1.33,111,80,73.0,11,6,6,6,26.1,2,0,2,0,100.0,Matches,Eintracht-Frankfurt,Bundesliga
1,Kauã Santos,br BRA,GK,22-024,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
0,Noah Atubolu,de GER,GK,22-345,24,24,2127,23.6,33,1.4,111,76,70.3,11,6,7,10,41.7,2,0,2,0,100.0,Matches,Freiburg,Bundesliga
1,Florian Müller,de GER,GK,27-173,8,7,663,7.4,14,1.9,28,15,57.1,4,0,3,1,14.3,2,2,0,0,0.0,Matches,Freiburg,Bundesliga
0,Moritz Nicolas,de GER,GK,27-196,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0,Matches,Monchengladbach,Bundesliga
1,Jonas Omlin,ch SUI,GK,31-115,10,9,798,8.9,23,2.59,57,33,63.2,2,1,6,1,11.1,3,2,1,0,33.3,Matches,Monchengladbach,Bundesliga
2,Tiago Cardoso,lu LUX,GK,19-028,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,,Matches,Monchengladbach,Bundesliga
3,Tobias Sippel,de GER,GK,37-044,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches,Monchengladbach,Bundesliga
0,Kevin Müller,de GER,GK,34-051,32,32,2849,31.7,60,1.9,163,103,66.3,7,5,20,7,21.9,5,5,0,0,0.0,Matches,Heidenheim,Bundesliga
1,Frank Feller,de GER,GK,21-118,1,0,31,0.3,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,Heidenheim,Bundesliga
0,Oliver Baumann,de GER,GK,34-337,26,26,2340,26.0,47,1.81,128,79,64.8,6,7,13,4,15.4,5,2,3,0,60.0,Matches,Hoffenheim,Bundesliga
1,Luca Philipp,de GER,GK,24-158,6,6,540,6.0,15,2.5,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0,Matches,Hoffenheim,Bundesliga
0,Timon Weiner,de GER,GK,26-107,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0,Matches,Holstein-Kiel,Bundesliga
1,Thomas Dähne,de GER,GK,31-121,6,6,540,6.0,13,2.17,36,23,66.7,1,2,3,0,0.0,2,1,1,0,50.0,Matches,Holstein-Kiel,Bundesliga
0,Lukáš Hrádecký,fi FIN,GK,35-161,27,27,2430,27.0,32,1.19,107,78,72.9,16,10,1,6,22.2,3,3,0,0,0.0,Matches,Bayer-Leverkusen,Bundesliga
1,Matej Kovar,cz CZE,GK,24-352,4,4,360,4.0,3,0.75,13,10,76.9,3,0,1,3,75.0,0,0,0,0,,Matches,Bayer-Leverkusen,Bundesliga
0,Robin Zentner,de GER,GK,30-189,31,31,2790,31.0,39,1.26,138,98,73.9,13,8,10,9,29.0,4,3,1,0,25.0,Matches,Mainz-05,Bundesliga
0,Péter Gulácsi,hu HUN,GK,34-364,28,28,2451,27.2,36,1.32,125,88,72.8,12,10,6,13,46.4,3,2,1,0,33.3,Matches,RB-Leipzig,Bundesliga
1,Maarten Vandevoordt,be BEL,GK,23-068,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,,Matches,RB-Leipzig,Bundesliga
0,Nikola Vasilj,ba BIH,GK,29-154,32,32,2879,32.0,37,1.16,129,89,72.1,8,7,17,9,28.1,5,1,4,0,80.0,Matches,St-Pauli,Bundesliga
1,Ben Alexander Voll,de GER,"GK,MF",24-147,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches,St-Pauli,Bundesliga
0,Alexander Nübel,de GER,GK,28-217,32,32,2880,32.0,51,1.59,131,80,62.6,12,8,12,6,18.8,3,2,1,0,33.3,Matches,Stuttgart,Bundesliga
0,Frederik Rønnow,dk DEN,GK,32-274,27,27,2430,27.0,34,1.26,107,70,69.2,8,11,8,8,29.6,5,1,4,0,80.0,Matches,Union-Berlin,Bundesliga
1,Alexander Schwolow,de GER,GK,32-337,5,5,450,5.0,12,2.4,24,12,54.2,1,0,4,0,0.0,1,1,0,0,0.0,Matches,Union-Berlin,Bundesliga
0,Michael Zetterer,de GER,GK,29-297,32,32,2880,32.0,56,1.75,144,91,63.2,13,8,11,9,28.1,3,3,0,0,0.0,Matches,Werder-Bremen,Bundesliga
0,Kamil Grabara,pl POL,GK,26-117,27,27,2405,26.7,47,1.76,127,80,64.6,8,6,13,4,14.8,3,2,1,0,33.3,Matches,Wolfsburg,Bundesliga
1,Marius Müller,de GER,GK,31-297,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,,Matches,Wolfsburg,Bundesliga
