,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
1,Fraser Forster,eng ENG,GK,37-048,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches,Tottenham-Hotspur,Premier-League
2,Antonín Kinský,cz CZE,GK,22-052,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
3,Brandon Austin,eng ENG,GK,26-116,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
0,Alphonse Areola,fr FRA,GK,32-067,23,22,1990,22.1,38,1.72,103,68,63.1,4,6,12,4,18.2,0,0,0,0,,Matches,West-Ham-United,Premier-League
1,Łukasz Fabiański,pl POL,GK,40-017,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches,West-Ham-United,Premier-League
0,José Sá,pt POR,GK,32-108,27,27,2430,27.0,45,1.67,108,63,62.0,11,4,12,7,25.9,6,4,2,0,33.3,Matches,Wolverhampton-Wanderers,Premier-League
1,Sam Johnstone,eng ENG,GK,32-041,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
2,Daniel Bentley,eng ENG,GK,31-296,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Wolverhampton-Wanderers,Premier-League
0,Antonio Sivera,es ESP,GK,28-267,28,28,2450,27.2,37,1.36,100,64,72.0,7,9,12,6,21.4,9,9,0,0,0.0,Matches,Alaves,La-Liga
1,Jesús Owono,gq EQG,GK,24-065,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0,Matches,Alaves,La-Liga
2,Adrian Rodriguez,es ESP,GK,24-144,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,Matches,Alaves,La-Liga
0,Unai Simón,es ESP,GK,27-327,16,16,1440,16.0,11,0.69,51,39,78.4,7,7,2,6,37.5,1,0,1,0,100.0,Matches,Athletic-Club,La-Liga
1,Julen Agirrezabala,es ESP,GK,24-129,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,Matches,Athletic-Club,La-Liga
2,Alex Padilla,es ESP,GK,21-245,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,Matches,Athletic-Club,La-Liga
0,Jan Oblak,si SVN,GK,32-117,33,33,2970,33.0,27,0.82,103,78,78.6,18,10,5,14,42.4,5,5,0,0,0.0,Matches,Atletico-Madrid,La-Liga
1,Juan Musso,ar ARG,GK,30-363,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Atletico-Madrid,La-Liga
0,Iñaki Peña,es ESP,GK,26-063,15,14,1306,14.5,18,1.24,52,34,69.2,6,3,5,3,21.4,2,2,0,0,0.0,Matches,Barcelona,La-Liga
1,Wojciech Szczęsny,pl POL,GK,35-016,13,13,1170,13.0,9,0.69,27,18,66.7,12,1,0,7,53.8,0,0,0,0,,Matches,Barcelona,La-Liga
2,Marc-André ter Stegen,de GER,GK,33-004,7,7,584,6.5,6,0.92,19,13,73.7,7,0,0,1,14.3,1,1,0,0,0.0,Matches,Barcelona,La-Liga
0,Rui Silva,pt POR,GK,31-086,15,15,1350,15.0,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0,Matches,Real-Betis,La-Liga
1,Adrián,es ESP,GK,38-121,14,14,1260,14.0,18,1.29,47,29,63.8,9,2,3,3,21.4,1,1,0,0,0.0,Matches,Real-Betis,La-Liga
2,Fran Vieites,es ESP,GK,25-362,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,,Matches,Real-Betis,La-Liga
0,Vicente Guaita,es ESP,GK,38-114,29,29,2610,29.0,40,1.38,104,64,63.5,11,7,11,7,24.1,2,2,0,0,0.0,Matches,Celta-Vigo,La-Liga
1,Iván Villar,es ESP,GK,27-299,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,Matches,Celta-Vigo,La-Liga
0,Joan García,es ESP,GK,24-001,33,33,2970,33.0,42,1.27,166,122,77.1,10,9,14,7,21.2,6,4,2,0,33.3,Matches,Espanyol,La-Liga
0,David Soria,es ESP,GK,32-031,34,34,3060,34.0,31,0.91,109,77,77.1,10,9,15,9,26.5,7,6,1,0,14.3,Matches,Getafe,La-Liga
0,Paulo Gazzaniga,ar ARG,GK,33-123,33,33,2925,32.5,50,1.54,133,81,63.9,9,8,16,6,18.2,5,2,3,0,60.0,Matches,Girona,La-Liga
1,Pau López,es ESP,GK,30-143,1,0,45,0.5,2,4.0,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches,Girona,La-Liga
0,Jasper Cillessen,nl NED,GK,36-013,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9,Matches,Las-Palmas,La-Liga
1,Dinko Horkaš,hr CRO,GK,26-056,9,7,725,8.1,14,1.74,39,25,64.1,2,0,5,1,14.3,1,0,1,0,100.0,Matches,Las-Palmas,La-Liga
0,Marko Dmitrović,rs SRB,GK,33-101,27,27,2430,27.0,42,1.56,125,85,72.0,5,10,12,8,29.6,8,7,0,1,0.0,Matches,Leganes,La-Liga
1,Juan Soriano,es ESP,GK,27-255,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,,Matches,Leganes,La-Liga
0,Dominik Greif,sk SVK,GK,28-029,27,27,2430,27.0,30,1.11,91,62,69.2,10,7,10,6,22.2,2,2,0,0,0.0,Matches,Mallorca,La-Liga
1,Leo Román,es ESP,GK,24-303,6,6,540,6.0,8,1.33,37,29,81.1,2,1,3,2,33.3,1,1,0,0,0.0,Matches,Mallorca,La-Liga
0,Sergio Herrera,es ESP,GK,31-334,33,33,2970,33.0,50,1.52,161,112,72.7,10,13,10,6,18.2,6,6,0,0,0.0,Matches,Osasuna,La-Liga
1,Aitor Fernández,es ESP,GK,34-002,1,1,90,1.0,0,0.0,5,5,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,Osasuna,La-Liga
0,Augusto Batalla,ar ARG,GK,29-005,28,28,2520,28.0,36,1.29,120,83,73.3,8,10,10,6,21.4,6,4,2,0,33.3,Matches,Rayo-Vallecano,La-Liga
1,Cárdenas,es ESP,GK,28-038,6,6,540,6.0,6,1.0,20,14,70.0,3,1,2,2,33.3,0,0,0,0,,Matches,Rayo-Vallecano,La-Liga
0,Thibaut Courtois,be BEL,GK,32-358,27,27,2430,27.0,22,0.81,87,66,78.2,18,6,3,11,40.7,3,3,0,0,0.0,Matches,Real-Madrid,La-Liga
