,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
149,Dimitry Bertaud,cd COD,GK,26-334,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches,Montpellier,Ligue-1
150,Anthony Lopes,pt POR,GK,34-217,16,16,1383,15.4,25,1.63,68,44,69.1,4,5,7,2,12.5,5,4,0,1,0.0,Matches,Nantes,Ligue-1
151,Alban Lafont,fr FRA,GK,26-103,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,Matches,Nantes,Ligue-1
152,Patrik Carlgren,se SWE,GK,33-118,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,,Matches,Nantes,Ligue-1
153,Marcin Bułka,pl POL,GK,25-214,32,32,2880,32.0,39,1.22,156,117,76.3,16,9,7,7,21.9,3,2,1,0,33.3,Matches,Nice,Ligue-1
154,Gianluigi Donnarumma,it ITA,GK,26-070,23,23,2001,22.2,24,1.08,72,48,68.1,17,5,1,4,17.4,1,1,0,0,0.0,Matches,Paris-Saint-Germain,Ligue-1
155,Matvei Safonov,ru RUS,GK,26-070,10,9,879,9.8,9,0.92,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0,Matches,Paris-Saint-Germain,Ligue-1
156,Yehvann Diouf,fr FRA,GK,25-171,32,32,2880,32.0,43,1.34,170,126,76.5,8,9,15,7,21.9,4,3,1,0,25.0,Matches,Reims,Ligue-1
157,Steve Mandanda,fr FRA,GK,40-039,17,17,1485,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3,Matches,Rennes,Ligue-1
158,Brice Samba,fr FRA,GK,31-011,15,15,1350,15.0,23,1.53,71,47,67.6,6,0,9,4,26.7,1,0,1,0,100.0,Matches,Rennes,Ligue-1
159,Gauthier Gallon,fr FRA,GK,32-013,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches,Rennes,Ligue-1
160,Gautier Larsonneur,fr FRA,GK,28-072,31,31,2790,31.0,74,2.39,195,121,68.7,6,6,19,3,9.7,15,13,2,0,13.3,Matches,Saint-Etienne,Ligue-1
161,Đorđe Petrović,rs SRB,GK,25-210,29,29,2610,29.0,33,1.14,140,108,80.0,15,8,6,10,34.5,6,5,1,0,16.7,Matches,Strasbourg,Ligue-1
162,Karl-Johan Johnsson,se SWE,GK,35-098,3,3,270,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0,Matches,Strasbourg,Ligue-1
163,Guillaume Restes,fr FRA,GK,20-056,27,27,2363,26.3,33,1.26,84,53,61.9,8,6,13,8,29.6,2,1,1,0,50.0,Matches,Toulouse,Ligue-1
164,Kjetil Haug,no NOR,GK,26-328,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,,Matches,Toulouse,Ligue-1
165,Álex Domínguez,es ESP,GK,26-280,1,0,19,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,Matches,Toulouse,Ligue-1
166,Finn Dahmen,de GER,GK,27-040,17,17,1530,17.0,13,0.76,68,57,83.8,7,6,4,9,52.9,2,2,0,0,0.0,Matches,Augsburg,Bundesliga
167,Nediljko Labrović,hr CRO,GK,25-208,15,15,1350,15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0,Matches,Augsburg,Bundesliga
168,Manuel Neuer,de GER,GK,39-040,20,20,1800,20.0,15,0.75,37,22,62.2,16,4,0,11,55.0,2,1,0,1,0.0,Matches,Bayern-Munich,Bundesliga
169,Jonas Urbig,de GER,GK,21-271,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,,Matches,Bayern-Munich,Bundesliga
170,Daniel Peretz,il ISR,GK,24-300,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,,Matches,Bayern-Munich,Bundesliga
171,Sven Ulreich,de GER,GK,36-276,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,Bayern-Munich,Bundesliga
172,Patrick Drewes,de GER,GK,32-091,21,21,1890,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0,Matches,Bochum,Bundesliga
173,Timo Horn,de GER,GK,31-359,11,11,990,11.0,18,1.64,45,27,60.0,2,3,6,2,18.2,1,0,0,1,,Matches,Bochum,Bundesliga
174,Gregor Kobel,ch SUI,GK,27-150,30,30,2700,30.0,45,1.5,117,72,65.0,14,6,10,6,20.0,4,4,0,0,0.0,Matches,Dortmund,Bundesliga
175,Alexander Meyer,de GER,GK,34-022,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,Matches,Dortmund,Bundesliga
176,Kevin Trapp,de GER,GK,34-301,24,24,2115,23.5,31,1.32,114,82,72.8,11,7,6,6,25.0,2,0,2,0,100.0,Matches,Eintracht-Frankfurt,Bundesliga
177,Kauã Santos,br BRA,GK,22-024,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
178,Noah Atubolu,de GER,GK,22-346,24,24,2127,23.6,33,1.4,111,76,70.3,11,6,7,10,41.7,2,0,2,0,100.0,Matches,Freiburg,Bundesliga
179,Florian Müller,de GER,GK,27-174,9,8,753,8.4,16,1.91,30,15,53.3,4,1,3,1,12.5,2,2,0,0,0.0,Matches,Freiburg,Bundesliga
180,Moritz Nicolas,de GER,GK,27-197,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0,Matches,Monchengladbach,Bundesliga
181,Jonas Omlin,ch SUI,GK,31-116,10,9,798,8.9,23,2.59,57,33,63.2,2,1,6,1,11.1,3,2,1,0,33.3,Matches,Monchengladbach,Bundesliga
182,Tiago Cardoso,lu LUX,GK,19-029,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,,Matches,Monchengladbach,Bundesliga
183,Tobias Sippel,de GER,GK,37-045,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches,Monchengladbach,Bundesliga
184,Kevin Müller,de GER,GK,34-052,32,32,2849,31.7,60,1.9,163,103,66.3,7,5,20,7,21.9,5,5,0,0,0.0,Matches,Heidenheim,Bundesliga
185,Frank Feller,de GER,GK,21-119,1,0,31,0.3,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,Heidenheim,Bundesliga
186,Oliver Baumann,de GER,GK,34-338,26,26,2340,26.0,47,1.81,128,79,64.8,6,7,13,4,15.4,5,2,3,0,60.0,Matches,Hoffenheim,Bundesliga
187,Luca Philipp,de GER,GK,24-159,6,6,540,6.0,15,2.5,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0,Matches,Hoffenheim,Bundesliga
188,Timon Weiner,de GER,GK,26-108,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0,Matches,Holstein-Kiel,Bundesliga
189,Thomas Dähne,de GER,GK,31-122,7,7,630,7.0,14,2.0,46,32,71.7,2,2,3,0,0.0,2,1,1,0,50.0,Matches,Holstein-Kiel,Bundesliga
190,Lukáš Hrádecký,fi FIN,GK,35-162,27,27,2430,27.0,32,1.19,107,78,72.9,16,10,1,6,22.2,3,3,0,0,0.0,Matches,Bayer-Leverkusen,Bundesliga
191,Matej Kovar,cz CZE,GK,24-353,5,5,450,5.0,5,1.0,16,12,68.8,3,1,1,3,60.0,0,0,0,0,,Matches,Bayer-Leverkusen,Bundesliga
192,Robin Zentner,de GER,GK,30-190,31,31,2790,31.0,39,1.26,138,98,73.9,13,8,10,9,29.0,4,3,1,0,25.0,Matches,Mainz-05,Bundesliga
193,Lasse Rieß,de GER,GK,23-283,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,Mainz-05,Bundesliga
194,Péter Gulácsi,hu HUN,GK,34-364,28,28,2451,27.2,36,1.32,125,88,72.8,12,10,6,13,46.4,3,2,1,0,33.3,Matches,RB-Leipzig,Bundesliga
195,Maarten Vandevoordt,be BEL,GK,23-068,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,,Matches,RB-Leipzig,Bundesliga
196,Nikola Vasilj,ba BIH,GK,29-155,32,32,2879,32.0,37,1.16,129,89,72.1,8,7,17,9,28.1,5,1,4,0,80.0,Matches,St-Pauli,Bundesliga
197,Ben Alexander Voll,de GER,"GK,MF",24-148,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches,St-Pauli,Bundesliga
198,Alexander Nübel,de GER,GK,28-217,32,32,2880,32.0,51,1.59,131,80,62.6,12,8,12,6,18.8,3,2,1,0,33.3,Matches,Stuttgart,Bundesliga
199,Frederik Rønnow,dk DEN,GK,32-275,27,27,2430,27.0,34,1.26,107,70,69.2,8,11,8,8,29.6,5,1,4,0,80.0,Matches,Union-Berlin,Bundesliga
200,Alexander Schwolow,de GER,GK,32-338,5,5,450,5.0,12,2.4,24,12,54.2,1,0,4,0,0.0,1,1,0,0,0.0,Matches,Union-Berlin,Bundesliga
201,Michael Zetterer,de GER,GK,29-298,32,32,2880,32.0,56,1.75,144,91,63.2,13,8,11,9,28.1,3,3,0,0,0.0,Matches,Werder-Bremen,Bundesliga
202,Kamil Grabara,pl POL,GK,26-118,27,27,2405,26.7,47,1.76,127,80,64.6,8,6,13,4,14.8,3,2,1,0,33.3,Matches,Wolfsburg,Bundesliga
203,Marius Müller,de GER,GK,31-298,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,,Matches,Wolfsburg,Bundesliga
