,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
10,Robert Sánchez,es ESP,GK,27-168,29,29,2610,29.0,32,1.1,118,85,76.3,15,9,5,8,27.6,5,4,1,0,20.0,Matches,Chelsea,Premier-League
11,Filip Jørgensen,dk DEN,GK,23-019,6,6,540,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches,Chelsea,Premier-League
12,Dean Henderson,eng ENG,GK,28-054,34,34,3060,34.0,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50.0,Matches,Crystal-Palace,Premier-League
13,Jordan Pickford,eng ENG,GK,31-059,35,35,3150,35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0,Matches,Everton,Premier-League
14,Bernd Leno,de GER,GK,33-063,35,35,3150,35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0,Matches,Fulham,Premier-League
15,Arijanet Muric,xk KVX,GK,26-180,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches,Ipswich-Town,Premier-League
16,Alex Palmer,eng ENG,GK,28-269,11,11,990,11.0,27,2.45,63,38,58.7,1,3,7,0,0.0,1,1,0,0,0.0,Matches,Ipswich-Town,Premier-League
17,Christian Walton,eng ENG,GK,29-178,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches,Ipswich-Town,Premier-League
18,Mads Hermansen,dk DEN,GK,24-298,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,Matches,Leicester-City,Premier-League
19,Jakub Stolarczyk,pl POL,GK,24-137,7,7,630,7.0,12,1.71,31,19,61.3,2,0,5,1,14.3,0,0,0,0,,Matches,Leicester-City,Premier-League
